Event TEF_20151106, Ticker TEF, Non-NaN Returns: 2
Event IMN_20151106, Ticker IMN, Non-NaN Returns: 2
Event VVUS_20120228, Ticker VVUS, Non-NaN Returns: 1
Event ROU_20030429, Ticker ROU, Non-NaN Returns: 16
Event PWE_20060509, Ticker PWE, Non-NaN Returns: 9
Event SGRY_20241112, Ticker SGRY, Non-NaN Returns: 12
Event HUVL_20090810, Ticker HUVL, Non-NaN Returns: 14
Event LF_20151109, Ticker LF, Non-NaN Returns: 5
Event PLCE_19991111, Ticker PLCE, Non-NaN Returns: 6
Event OWW_20120216, Ticker OWW, Non-NaN Returns: 9
Event PBIB_20060815, Ticker PBIB, Non-NaN Returns: 15
Event SCVL_19991117, Ticker SCVL, Non-NaN Returns: 10
Event ANLG_19991115, Ticker ANLG, Non-NaN Returns: 10
Event GLOB_20241114, Ticker GLOB, Non-NaN Returns: 11
Event CRSP_20241105, Ticker CRSP, Non-NaN Returns: 17
Event CDXC_20160317, Ticker CDXC, Non-NaN Returns: 15
Event CPNO_20120228, Ticker CPNO, Non-NaN Returns: 1
Event ANAD_20151112, Ticker ANAD, Non-NaN Returns: 6
Event DINE_19991109, Ticker DINE, Non-NaN Returns: 5
Event SECX_19991108, Ticker SECX, Non-NaN Returns: 5
Event TRGL_19991108, Ticker TRGL, Non-NaN Returns: 5
Event LEJU_20151118, Ticker LEJU, Non-NaN Returns: 10
