days_to_event,event_count,sharpe_q5,sharpe_q10,sharpe_q25,sharpe_q50,sharpe_q75,sharpe_q90,sharpe_q95
-60,0,,,,,,,
-59,0,,,,,,,
-58,0,,,,,,,
-57,17200,-10.0,-10.0,-7.283449740332664,0.06215909373389135,6.973269991831181,10.0,10.0
-56,78587,-10.0,-10.0,-6.828430198063366,0.10857323950009913,6.84046287467498,10.0,10.0
-55,208802,-10.0,-10.0,-6.635374687067294,0.0686419692328046,6.474351597284629,10.0,10.0
-54,237813,-10.0,-10.0,-5.589823608687304,0.11748324897220298,5.75985211412754,10.0,10.0
-53,238503,-10.0,-10.0,-5.033478043856638,0.1508858860539515,5.324532041195916,10.0,10.0
-52,238544,-10.0,-9.937214244596298,-4.75426842650787,0.16544519967990273,5.095829346054936,10.0,10.0
-51,238634,-10.0,-9.399130964946352,-4.496884010425795,0.15832624391469807,4.821023275992166,9.49253106518507,10.0
-50,238867,-10.0,-8.767365692960299,-4.227186788056734,0.14816077264469846,4.52780953152372,8.837129498273349,10.0
-49,239152,-10.0,-8.4369523814041,-4.077980093120551,0.15293458366703716,4.359231323667662,8.476025763689751,10.0
-48,239488,-10.0,-8.02895174860583,-3.8954149752421108,0.1613178327437087,4.211481388610279,8.125844895189985,10.0
-47,239740,-10.0,-7.764586030019241,-3.7778384268612077,0.19548541573188996,4.147386951969468,7.966596652646637,10.0
-46,239611,-10.0,-7.968741646578488,-3.8494156502888455,0.1796354391016359,4.218569149974708,8.151065435169215,10.0
-45,239361,-10.0,-8.420349139944356,-4.053943189672335,0.18285953101459113,4.396353965471792,8.543526202379022,10.0
-44,239207,-10.0,-8.836173380234984,-4.307404665562212,0.11847935088794372,4.449458445551094,8.765615789813731,10.0
-43,239230,-10.0,-8.812260376954727,-4.295786899374374,0.09133840698984128,4.412478660617423,8.69706410277731,10.0
-42,239479,-10.0,-8.534804315121937,-4.176275332889782,0.08055604018402662,4.243484088161508,8.335722497498242,10.0
-41,239888,-10.0,-8.094780999715866,-3.964979214616428,0.11482419919108286,4.093591900393742,7.988739692463087,10.0
-40,240235,-10.0,-7.787563171850421,-3.7825320436907006,0.14989608284168443,4.052544639038199,7.838586795619711,10.0
-39,240214,-10.0,-7.954911937142197,-3.8286112967864483,0.1764812276602703,4.138620991288966,8.008234980264685,10.0
-38,239729,-10.0,-8.350073053838019,-4.016177606768806,0.1788367815214245,4.331220326186139,8.42457232321868,10.0
-37,239359,-10.0,-8.729949279821275,-4.1961953715533165,0.13090117505713425,4.415302894574331,8.694610918446099,10.0
-36,239284,-10.0,-8.709039239166577,-4.210272162629114,0.12175712507307435,4.371207204178508,8.627410657054343,10.0
-35,239730,-10.0,-8.434396795200783,-4.085304377485629,0.09828476373278766,4.202597621367794,8.2659091091203,10.0
-34,240244,-10.0,-8.003835631011876,-3.8783026392063062,0.12899296689729894,4.080815462033215,7.936442951991026,10.0
-33,240618,-10.0,-7.795862460212944,-3.752152103688355,0.15295197273156902,4.014681424523131,7.749539878488854,10.0
-32,240544,-10.0,-7.9539222917044,-3.8052569612001386,0.2032643541378932,4.144295796670278,7.9988887441371395,10.0
-31,239901,-10.0,-8.43145000253037,-4.00662634826847,0.1923560661911547,4.347797578433838,8.405752218964818,10.0
-30,239496,-10.0,-8.77056068144747,-4.210410452333612,0.15096831235434305,4.41978553421564,8.695292978263964,10.0
-29,239545,-10.0,-8.76947588886362,-4.2216666822160835,0.14482986217445323,4.384654624390078,8.6228193135668,10.0
-28,239855,-10.0,-8.449646563124144,-4.0746769132413405,0.1328874918194421,4.244929015254746,8.26925874402272,10.0
-27,240258,-10.0,-8.02997776799092,-3.829996335456378,0.19066914799199336,4.146103535074561,7.985046861105595,10.0
-26,240554,-10.0,-7.726131426499086,-3.6746037047844453,0.2444634479759763,4.118975147150423,7.89143327935731,10.0
-25,240531,-10.0,-7.85887684652471,-3.715942569431185,0.289794797673703,4.289160899884287,8.1393614085868,10.0
-24,240291,-10.0,-8.341589594470811,-3.9058326875489744,0.27859118529150706,4.469442395154093,8.619313016290635,10.0
-23,240052,-10.0,-8.639397483920693,-4.0997409215387925,0.2484858720010424,4.600053828552954,8.91626911325959,10.0
-22,240084,-10.0,-8.637306496432037,-4.107275667828591,0.2268079547116429,4.557816944733995,8.874844427037797,10.0
-21,240552,-10.0,-8.399834698177866,-3.9787944414754133,0.2511944453002249,4.435580130996788,8.53107634573307,10.0
-20,240955,-10.0,-7.968252238378663,-3.7687135048106972,0.2866215279438976,4.3073818627356815,8.199109150269628,10.0
-19,241261,-10.0,-7.72690093086273,-3.617982080027342,0.31758584049530386,4.238304133289582,8.014607010786111,10.0
-18,241292,-10.0,-7.86329362960724,-3.682057762976015,0.356762736366364,4.319430686458509,8.2141138904652,10.0
-17,241088,-10.0,-8.335261507412756,-3.905761236080023,0.3103131215983052,4.4820146520920385,8.5531099201946,10.0
-16,240938,-10.0,-8.683821362594648,-4.115548006799442,0.26092378652247106,4.580480546333334,8.879225140076741,10.0
-15,240947,-10.0,-8.689763043019003,-4.138686760484028,0.23828610563907998,4.5524733870303145,8.817628760751358,10.0
-14,241221,-10.0,-8.37054337008758,-3.995309008664196,0.241559713558995,4.416043802075567,8.507812102281912,10.0
-13,241460,-10.0,-7.920827419859112,-3.7855318053985436,0.26770014749082993,4.291971411560695,8.189523187925552,10.0
-12,241648,-10.0,-7.678639156655872,-3.652253668375113,0.286851077455117,4.209260818458889,7.936641118921616,10.0
-11,241595,-10.0,-7.8318670062724385,-3.703067756986215,0.3002146108192865,4.25283914740582,8.085294617832455,10.0
-10,241519,-10.0,-8.258338706123757,-3.9124930183841684,0.26214857770898314,4.448533120318201,8.496981951558144,10.0
-9,241478,-10.0,-8.54458331264572,-4.082687054592117,0.2494899355017906,4.536724054693594,8.78633675779574,10.0
-8,241469,-10.0,-8.491364455860952,-4.0370317686201,0.2600869782179546,4.5234324765390195,8.763560063082314,10.0
-7,241554,-10.0,-8.156759125787879,-3.849714994625509,0.29194801029523154,4.400430291281652,8.450479572081248,10.0
-6,241640,-10.0,-7.761265386418859,-3.667414813064037,0.28805592005895175,4.263434513210781,8.106154802589616,10.0
-5,241693,-10.0,-7.50486595801019,-3.552553288721383,0.2981120204310886,4.150033356960772,7.868673810935212,10.0
-4,241701,-10.0,-7.706004975937507,-3.6217171731660667,0.3320924285110624,4.249071505872344,8.003145547545484,10.0
-3,241647,-10.0,-8.145692333859971,-3.8332247225275244,0.3096316580670519,4.422253400662928,8.40228510824758,10.0
-2,241598,-10.0,-8.393476265201627,-3.9340649479768848,0.3188647432393512,4.570208128918248,8.73211325108594,10.0
-1,241626,-10.0,-8.27123571410488,-3.8666473395604255,0.3480484291228962,4.544014994656286,8.717190027569009,10.0
0,241675,-10.0,-7.9264503242803706,-3.663202769823509,0.40442342213500815,4.485015833396432,8.402614280673651,10.0
1,241772,-10.0,-7.425795610742506,-3.5718319584486737,0.4475107974405088,4.446006502718648,8.002071992012574,10.0
2,241825,-9.629857705162912,-7.299685609679254,-3.7289994176841286,0.3588482758026317,4.3591192381614885,7.70600798511088,9.892431812795667
3,241931,-9.994497989012388,-7.572820576189336,-3.8515976597360027,0.3334018868590738,4.447975017660897,7.890198716071811,10.0
4,241937,-10.0,-8.030636306199613,-4.09281635032829,0.3219107254963791,4.646907143426195,8.298942424388386,10.0
5,242125,-10.0,-8.478559770465504,-4.331091384903043,0.2802619157400695,4.825209709146912,8.66718849776485,10.0
6,242541,-10.0,-8.532786946710445,-4.352551633261591,0.2657014778373175,4.809150789233385,8.694794837852767,10.0
7,242640,-10.0,-8.33450870144987,-4.245177971666569,0.2324107072516319,4.633802169746942,8.42685403061972,10.0
8,242695,-10.0,-8.007013216317077,-4.110863301386363,0.20651346000379814,4.450688636990467,8.073999376958245,10.0
9,242702,-10.0,-7.82964428618393,-4.038629242109689,0.20230486961626945,4.372840700677275,7.886557943838684,10.0
10,242651,-10.0,-8.103904236314152,-4.210894527263191,0.17836639043200053,4.485785985182269,8.063952856534911,10.0
11,242579,-10.0,-8.612207428860655,-4.3934112782500385,0.1293219342854693,4.522212144152226,8.388772079421909,10.0
12,242534,-10.0,-8.784033677597355,-4.212233027800028,0.15721006363231194,4.455718370157793,8.679593991299514,10.0
13,242512,-10.0,-8.624149111016647,-4.129062048757267,0.18476630750199757,4.4419757515038185,8.64653229274571,10.0
14,242527,-10.0,-8.264436190679728,-3.9647891971738662,0.17437190242858752,4.276795760927232,8.318474737931156,10.0
15,242555,-10.0,-7.866225263640238,-3.7727125791815697,0.18239656786130523,4.101014013969605,7.918377810159712,10.0
16,242585,-10.0,-7.592784233202896,-3.61766902016387,0.2267517360800489,4.0566142803909555,7.746190523159442,10.0
17,242545,-10.0,-7.717409796863747,-3.637359804583009,0.27733898149590425,4.17454274971121,7.943218107814499,10.0
18,242432,-10.0,-8.126656603203719,-3.8444272003308178,0.2597287161947248,4.375858220646086,8.423498331731377,10.0
19,242351,-10.0,-8.463027924934586,-4.006350890827157,0.26759730107115126,4.514327844058467,8.715731185235052,10.0
20,242315,-10.0,-8.412908769352105,-3.9917056229432264,0.22858373649083144,4.464552980007333,8.693788668868926,10.0
21,242362,-10.0,-8.091090077827694,-3.85378303786221,0.22966272438207758,4.340918088083045,8.395872439243727,10.0
22,242441,-10.0,-7.67690127562384,-3.6596444999094566,0.23302840248627008,4.196543123208392,8.043535963887722,10.0
23,242469,-10.0,-7.438544044410706,-3.5404378657012803,0.28145315846048946,4.133459622327151,7.85715155805649,10.0
24,242418,-10.0,-7.555267384164001,-3.5616394664325224,0.34993860435108326,4.276885439390284,8.086784815431484,10.0
25,242293,-10.0,-7.932232039262798,-3.7030494325311247,0.39188012880110323,4.543312018598502,8.582413096866684,10.0
26,242214,-10.0,-8.257762473367997,-3.856200866759562,0.39503579687831725,4.681375439030884,8.919618309123088,10.0
27,242199,-10.0,-8.297231884995318,-3.848607979229616,0.3584160281338651,4.641226616056347,8.859510223945358,10.0
28,242213,-10.0,-8.01853819962528,-3.743794018053054,0.35417777416559065,4.472603831842908,8.543343041622867,10.0
29,242284,-10.0,-7.63635675095036,-3.5706965724510584,0.3550074537397147,4.3269929631151545,8.171128020279918,10.0
30,242327,-10.0,-7.369000750665838,-3.4071647248334074,0.42016449271493667,4.2690088445597425,7.9975637063692915,10.0
31,242261,-10.0,-7.512257829164569,-3.4647133668516132,0.4680866640387306,4.405673938876587,8.203431272516546,10.0
32,242129,-10.0,-8.003538095772429,-3.6859655888261615,0.45013244452780865,4.612703019389389,8.693357523074583,10.0
33,241953,-10.0,-8.389749286729725,-3.890288392149168,0.42219484447319494,4.7510016647745825,9.05962115543226,10.0
34,241835,-10.0,-8.432148081924838,-3.9437752401480375,0.3301734203892942,4.661606805318957,8.929588331678065,10.0
35,241898,-10.0,-8.122079067990494,-3.7950662882784556,0.3551227387458223,4.513181473814207,8.586604229866223,10.0
36,242070,-10.0,-7.707770181638029,-3.620362751493307,0.37260476240718754,4.356235657427988,8.19984366362081,10.0
37,242151,-10.0,-7.412626175355838,-3.4515598718128113,0.4386072737846952,4.329190676050404,8.040417038376155,10.0
38,242040,-10.0,-7.551799970367133,-3.4803112906851865,0.454844907787322,4.4552855841395,8.28179231665163,10.0
39,241820,-10.0,-7.977766590840555,-3.6660536582958034,0.45632520229414575,4.6383225821593115,8.721508872577813,10.0
40,241708,-10.0,-8.428896538948264,-3.9207943719719194,0.3573159447414144,4.708229370025174,9.022098926056385,10.0
41,241656,-10.0,-8.45977225484426,-4.001424570627637,0.2770982671235486,4.578101896619199,8.910018298851544,10.0
