days_to_event,avg_pct_change,count
-60,-0.42071350405530195,98559
-59,0.03913626513241461,109115
-58,0.05862344009250789,134775
-57,0.13265415625397572,187380
-56,0.041925001990299283,222593
-55,0.5055221496353476,209232
-54,0.13912730645178611,138974
-53,-1.156217163655239,99494
-52,-0.5966055338045855,111121
-51,-0.5389747477587212,137412
-50,-0.5001330512197134,190101
-49,-0.576293313972896,225870
-48,-0.3110296054051503,209920
-47,-0.6537142413962227,139234
-46,-1.834749244083797,100074
-45,-1.0215026392377224,115342
-44,-1.115375348509463,140348
-43,-1.3278262812824528,192664
-42,-1.4723948286701078,225575
-41,-1.0559407016132372,208323
-40,-1.5712371764461128,138840
-39,-2.6350272509257904,99677
-38,-1.8603595396839443,115838
-37,-1.8800346617452222,141746
-36,-2.0749934091203674,193246
-35,-2.2805873089979913,226908
-34,-1.7834390210317421,208286
-33,-2.2433122083403028,138679
-32,-3.3669460375064517,100150
-31,-2.8099733343676183,116105
-30,-2.5516272732483265,141977
-29,-2.7369374217717644,194338
-28,-2.8710257698282744,228840
-27,-2.5291890349286823,209974
-26,-3.059398414432823,139669
-25,-4.079894397571329,100294
-24,-3.4082903453689304,116833
-23,-3.191447919368717,142657
-22,-3.2554744658377275,195844
-21,-3.5338909396103064,230865
-20,-3.1541185306248125,212682
-19,-3.594527850910926,141562
-18,-4.747764293585142,102319
-17,-4.074755377799765,119606
-16,-3.8389451991651864,145526
-15,-3.9957138950205677,199005
-14,-4.114622681666126,233694
-13,-3.861315819913569,215465
-12,-4.302655019389284,143100
-11,-5.532582976746114,103353
-10,-4.717709428718631,120018
-9,-4.318882477406436,145950
-8,-4.443813042774634,199899
-7,-4.493789090403321,235184
-6,-4.156557062470398,217163
-5,-4.488555676447713,144315
-4,-5.745169429718182,104465
-3,-4.998978395301773,121485
-2,-4.470343281434021,147194
-1,-4.111303796045095,201490
0,0.0,239704
1,-3.7637355221252378,218780
2,-4.249134644931174,144689
3,-5.344081390271763,104912
4,-4.907180409236284,122825
5,-4.365884898452587,147676
6,-4.178720370026481,201078
7,-4.320315084129119,235649
8,-3.8839589635739262,217861
9,-4.15222476993844,144193
10,-5.264183879800128,103717
11,-4.597913256667941,122061
12,-4.207909814222026,146892
13,-4.006212878156149,199206
14,-4.182735581920461,231970
15,-3.5517583202599434,215853
16,-3.5332814554271215,142632
17,-4.554350457866728,102359
18,-4.215302436363225,119418
19,-4.142629949315605,144619
20,-3.7058308136600826,196430
21,-3.7840969100169475,228154
22,-3.090276923350195,214381
23,-3.096796191657118,142034
24,-4.18483658917697,101678
25,-3.8443999769517276,115966
26,-3.4110224717026663,141933
27,-3.20251359750861,194218
28,-3.010229154910698,227579
29,-2.5806773758835604,212951
30,-2.600201571656206,140831
31,-3.5845226001101427,101099
32,-3.037068478621584,114620
33,-2.7997358835960826,141233
34,-2.650810749718041,194528
35,-2.6493110516015137,228788
36,-2.2374324180450977,212993
37,-2.168534636291446,141197
38,-3.3087349521756133,101666
39,-2.5601107981219187,115968
40,-2.5016714660109582,141885
41,-2.381791705861385,194250
42,-2.3876878131614694,228969
43,-1.7539609284491973,212621
44,-1.6446081517856477,141023
45,-2.529852539027741,101566
46,-2.1999536571823617,117781
47,-2.2266734409894733,143096
48,-2.2531323644809,195040
49,-1.9830319788272475,227936
50,-1.461820922914106,208510
51,-1.4299980998431452,139194
52,-2.3533777639857454,100484
53,-1.9824934296345058,118024
54,-2.1015758310305426,142366
55,-2.029154372016989,193343
56,-1.8039388381318449,224891
57,-1.194913966539831,206520
58,-1.360640631476497,137230
59,-2.3541237056928344,99152
60,-1.6008042481757236,115436
