days_to_event,avg_rolling_mean_return,median_rolling_mean_return,event_count
-60,,,0
-59,,,0
-58,-0.004075524543015449,0.0033666666666666654,17269
-57,0.031593674271261835,0.01043333333333336,77497
-56,0.0065415298552928495,0.0038666666666666307,205173
-55,0.028792790102097284,0.012289999999999905,214436
-54,0.021384391754630614,0.014179999999999993,143903
-53,0.025677354598135194,0.011329999999999986,103426
-52,0.029600114322667043,0.008510000000000045,114690
-51,0.03535648458364531,0.021299999999999958,141538
-50,0.029053091310627527,0.020110000000000076,194782
-49,0.0328810605883221,0.01919999999999998,230633
-48,0.02994361418833302,0.013240000000000005,215111
-47,0.03356488528677121,0.010980000000000018,143866
-46,0.04042601846771852,0.009139999999999999,103893
-45,0.016135700476791307,0.0019699999999999926,118850
-44,0.027591705757865934,0.008159999999999973,144278
-43,0.02653233383179961,0.009419999999999984,196603
-42,0.02790238794531368,0.012419999999999928,229211
-41,0.023577921228130325,0.010439999999999911,212377
-40,0.0251278159941751,0.013479999999999881,142827
-39,0.027464651639808733,0.014120000000000002,102949
-38,0.021289186502109984,0.01063999999999972,119189
-37,0.018858561879182452,0.014339999999999988,144836
-36,0.01511494124864302,0.01302000000000001,195882
-35,0.0090801457942106,0.01461999999999991,229513
-34,0.003951340501215707,0.01025000000000005,211406
-33,0.007734332945954681,0.013480000000000046,141980
-32,0.007088717094522771,0.006540000000000018,103111
-31,0.00398038395413863,0.006280000000000174,118851
-30,0.01764435723250443,0.01704,144482
-29,0.024134889371971058,0.02066000000000004,196424
-28,0.0309595454722972,0.02472000000000002,230459
-27,0.038826145881983715,0.02867999999999997,211975
-26,0.04460964158109675,0.0318800000000001,142087
-25,0.043594966192222646,0.021219999999999992,102787
-24,0.03507296967430738,0.019700000000000176,119008
-23,0.04336938361385003,0.02793999999999991,144317
-22,0.052428296929527385,0.03923999999999995,197049
-21,0.04520306425671579,0.036459999999999965,231706
-20,0.04352360527945271,0.033169999999999415,214252
-19,0.04086201081154889,0.03341999999999984,143951
-18,0.024982966204473198,0.02381000000000036,104718
-17,0.018578936582895264,0.01655000000000001,121760
-16,0.03181286401966257,0.022490000000000177,147286
-15,0.03149730598156551,0.02548000000000009,200243
-14,0.040169318257070805,0.0300199999999997,234563
-13,0.03364046713953605,0.028160000000000962,216973
-12,0.039733202161661464,0.03016000000000007,145382
-11,0.03581023091143703,0.021299999999999653,105661
-10,0.03564470982672196,0.016740000000000227,122289
-9,0.057572654182863635,0.02698000000000006,147925
-8,0.07272683065160002,0.03628000000000006,201238
-7,0.07375653185193842,0.03167000000000002,235904
-6,0.0786278237257522,0.030659999999999774,218508
-5,0.06829933424593183,0.027020000000000117,146468
-4,0.0651320247948084,0.02369999999999997,106689
-3,0.06991864128398581,0.02800000000000024,123667
-2,0.08584505958052187,0.034490000000000076,149042
-1,0.10919213568790034,0.05042000000000004,202585
0,0.11670318204427024,0.06190000000000008,239244
1,0.0740052206444732,0.04601000000000029,219652
2,0.04901141864131412,0.039209999999999856,146524
3,0.01025287165518894,0.01687999999999982,107019
4,0.011518016437552963,0.01485999999999998,125120
5,0.03151042581523624,0.024780000000000028,150069
6,0.0048867943525206375,0.016199999999999843,202946
7,-0.0176269670723735,0.003620000000000012,237035
8,0.013034722083093956,0.00880000000000025,219622
9,0.03158267180882598,0.016499999999999865,146631
10,0.02276775357002902,0.013419999999999892,106325
11,0.027223439603812453,0.01103999999999999,124823
12,0.0462948688953014,0.025140000000000058,149359
13,0.04903074077754833,0.02779999999999999,201239
14,0.03620863962231283,0.020270000000000288,233456
15,0.0374018905480635,0.02119000000000005,217712
16,0.04455914797546465,0.02326,144988
17,0.05228192752202502,0.02121999999999992,105071
18,0.05223208234174893,0.02194000000000017,122279
19,0.032579775843415974,0.014420000000000231,147278
20,0.04297393724901814,0.02270000000000008,198637
21,0.05748909531635914,0.030349999999999898,229992
22,0.07041830299852622,0.03972000000000003,216473
23,0.07992564145236544,0.04643000000000022,144812
24,0.07156839438473668,0.03521999999999996,104584
25,0.06874560315471723,0.025659999999999926,118933
26,0.060317860898832155,0.03111999999999995,144595
27,0.0727267377493154,0.040139999999999953,196438
28,0.0761958707991995,0.040739999999999735,229609
29,0.07737213040127379,0.04402000000000038,215389
30,0.07492395651498637,0.044360000000000024,143789
31,0.05862892744328092,0.02661999999999999,104153
32,0.07576948683539854,0.03227000000000004,117740
33,0.07780672440133253,0.03721999999999993,144223
34,0.07107519846340968,0.04162000000000009,197190
35,0.05813228966834172,0.038339999999999624,231131
36,0.061785074445541856,0.04267999999999995,215661
37,0.051449235322511645,0.03161999999999991,144331
38,0.04478805939057284,0.02206000000000024,104809
39,0.05493932761633241,0.02613999999999987,119235
40,0.05638406181342997,0.03468000000000002,144893
41,0.05555185419256647,0.03553999999999995,197075
42,0.048756253168875704,0.031399999999999484,231549
43,0.04296982690228863,0.024139999999999943,215543
44,0.041412643105804586,0.02064000000000026,144392
45,0.029675066908642793,0.008960000000000105,104969
46,0.025365940294361306,0.012199999999999642,121189
47,0.034331857363323656,0.02022000000000001,146227
48,0.02509465423706567,0.012950000000000048,198156
49,0.030045865564406346,0.016100000000000142,230859
50,0.028679799388474286,0.015219999999999108,211711
51,0.033679679471469534,0.018559999999999913,142811
52,0.0383007163830974,0.016299999999999787,104325
53,0.033012514382207946,0.016240000000000265,121794
54,0.03437180023674776,0.02039999999999995,145866
55,0.035002797096962024,0.02285999999999993,197012
56,0.03038910779547862,0.02208999999999995,228748
57,0.02324124014872794,0.019819999999999977,210675
58,0.018781431230002078,0.019140000000000018,141680
59,0.015674665259911624,0.013190000000000146,103548
60,0.025519031161804394,0.015099999999999836,119762
