days_to_event,avg_daily_return,count
-60,7.557790790562444,102929
-59,-0.3000107160181131,113753
-58,-1.8172588145996007,139746
-57,-4.358563211449783,192896
-56,-4.618028000841275,228145
-55,-4.2577213226525386,215018
-54,-4.20653535595138,143958
-53,-5.830125885921823,103582
-52,-5.308445666403652,115137
-51,-3.422100947831497,142111
-50,-4.215525808568899,195210
-49,-4.54307969380094,230947
-48,-4.23842510056092,215259
-47,-4.715041583816464,143937
-46,-5.947435440911729,104040
-45,-4.602283201668912,119191
-44,-3.861232471355275,144698
-43,-3.201332935847192,197097
-42,-4.448108419916712,229725
-41,-4.285044325442963,212668
-40,-4.928223253849723,142927
-39,-5.623863106960206,103139
-38,-2.283682502952353,119665
-37,-2.885410612155471,145391
-36,-3.8489139560784986,196390
-35,-4.250636169818344,229944
-34,-4.329058437807697,211634
-33,-4.927048309219755,142072
-32,-5.178544364937494,103255
-31,-4.154659205947049,119251
-30,-3.28956435152995,144994
-29,-3.8654712917194014,196900
-28,-4.173231467030993,230888
-27,-3.9877666742687485,212245
-26,-4.684695518160326,142223
-25,-4.2536799727380155,103023
-24,-1.131369963644662,119628
-23,-2.688592394947287,145121
-22,0.1972506591627336,197748
-21,-3.266288888069098,232258
-20,-4.344809564327875,214490
-19,-4.859052007013806,143999
-18,-5.606820962094828,104834
-17,-2.977141187128937,122155
-16,-2.147919485325169,147782
-15,-2.3586021141159716,200639
-14,-4.692233140117604,234785
-13,-4.450355894495321,217023
-12,-5.115694488531137,145411
-11,-6.135669520522866,105737
-10,-4.441422878705199,122439
-9,-4.299673953427918,148062
-8,-4.395988312706543,201352
-7,-4.6085784866679464,236023
-6,-4.209089485149716,218591
-5,-4.96933307078525,146506
-4,-5.74171725305968,106772
-3,-5.069448426513999,123781
-2,-4.497545248952769,149147
-1,-4.356663715027725,202729
0,-1.427040968373169,239698
1,-1.5853078706724515,220163
2,-2.3615707346448427,146757
3,-1.8462086887772735,107416
4,-4.302957151346118,125534
5,-4.166560574892067,150208
6,-3.8922332609170454,203030
7,-3.930701345494716,237099
8,-3.911203927486942,219652
9,-4.469760058324047,146658
10,-5.697285133806458,106357
11,-4.938998887481634,124855
12,-4.561702895874928,149415
13,-3.2612916513968058,201323
14,-4.4036433704360745,233540
15,-3.8281810061831543,217757
16,-4.818271605261879,145011
17,-5.935365509154811,105119
18,-5.3059776199264075,122361
19,-4.475369706192151,147394
20,-4.248941170384107,198754
21,-4.524311392685945,230089
22,-4.218875861812306,216541
23,-4.505851603574813,144838
24,-5.345311923043792,104628
25,-4.502652874749084,119028
26,-3.927267267501993,144690
27,-4.46555898255705,196550
28,-4.565591648687543,229723
29,-4.161524521969735,215452
30,-4.54925057434904,143827
31,-5.663486269066597,104205
32,-4.663165414522049,117841
33,-4.447118898785432,144348
34,-3.7133791642568905,197293
35,-4.598342593820052,231230
36,-4.1422376663574205,215708
37,-4.6549988003234954,144350
38,-5.713116339003163,104848
39,-5.36840972599358,119262
40,-4.258673939697511,144936
41,-3.868880249457761,197204
42,-4.301045885554351,231720
43,7.849460265650653,215637
44,-4.431638810835018,144435
45,-5.4484044055614165,105030
46,-3.7388125793881226,121350
47,-4.10930446558948,146418
48,-3.783283236684163,198373
49,-3.9258026451079093,231212
50,-4.028573966022717,211942
51,-4.487444997431048,142858
52,-5.133971641956011,104472
53,-4.7623652684463815,122119
54,-4.115224929872862,146219
55,-3.5583332863175356,197365
56,-4.3120631347022105,229176
57,-4.09342423176182,210941
58,-3.7784701777010197,141714
59,-2.2506113844093383,103655
60,-3.447174636115013,120242
