days_to_event,avg_norm_pct_change,count
-60,-0.05447342588674025,102956
-59,-0.051851026966198505,113776
-58,-0.07500933965911014,139782
-57,-0.07078270473852455,192931
-56,-0.066676912081298,228187
-55,-0.057845785277252086,215051
-54,-0.06217037606941553,143988
-53,-0.0690488123258237,103610
-52,-0.06618112926623725,115165
-51,-0.08171484526887764,142144
-50,-0.08095675738783462,195252
-49,-0.07589008472998245,230989
-48,-0.07486954284851073,215298
-47,-0.08049769548319632,143964
-46,-0.08206396034194353,104067
-45,-0.07455097827069664,119212
-44,-0.09019738414579892,144729
-43,-0.09819660724497908,197142
-42,-0.09578229324075214,229772
-41,-0.09448755427064721,212704
-40,-0.09837875115802928,142956
-39,-0.09632473335824016,103164
-38,-0.08657118740832082,119686
-37,-0.10286075626029624,145424
-36,-0.11082773199648832,196430
-35,-0.10932498777707564,229989
-34,-0.10733143268070112,211673
-33,-0.11007399229614756,142101
-32,-0.1055585607363755,103277
-31,-0.09514196237083936,119272
-30,-0.10490566379153961,145033
-29,-0.11002259657457197,196946
-28,-0.10634895253018659,230936
-27,-0.09734615336340463,212287
-26,-0.10223743076365356,142254
-25,-0.09960425576119165,103047
-24,-0.08986357417454167,119648
-23,-0.09845104697048274,145157
-22,-0.09925824631056969,197791
-21,-0.09851882037323091,232303
-20,-0.0906171414865333,214529
-19,-0.0913731078517634,144036
-18,-0.09680163338405254,104863
-17,-0.08912436516224091,122184
-16,-0.0929716609762028,147817
-15,-0.09456071789166595,200684
-14,-0.08981836238773391,234834
-13,-0.08520596739470664,217070
-12,-0.08851056491327473,145446
-11,-0.09781448766102893,105769
-10,-0.08645370451423354,122464
-9,-0.08143822922565033,148099
-8,-0.08161496711091555,201402
-7,-0.07931390674541668,236077
-6,-0.07465403526205636,218639
-5,-0.07735999019475748,146548
-4,-0.08501336975225303,106801
-3,-0.07426176970861047,123816
-2,-0.06612750927245192,149185
-1,-0.054584459275244836,202779
0,0.0,239763
1,-0.06848518253595183,220208
2,-0.08538749185931649,146790
3,-0.10085778399207662,107451
4,-0.0911925275963499,125563
5,-0.0853790792585701,150245
6,-0.0907549469405044,203076
7,-0.0971308077808188,237141
8,-0.09381668242463961,219691
9,-0.09974381354619268,146690
10,-0.11826607907204863,106385
11,-0.10461154146524593,124881
12,-0.09364319617641113,149444
13,-0.09613281614386379,201363
14,-0.10530580977140586,233585
15,-0.10090701417892912,217792
16,-0.1024133374761361,145042
17,-0.11254851277477865,105142
18,-0.10676443298574327,122386
19,-0.09948994685666332,147421
20,-0.09513424580510978,198787
21,-0.0989473355567456,230131
22,-0.08711951602524694,216575
23,-0.08718724122014744,144865
24,-0.09928406489197386,104653
25,-0.09617259987323518,119048
26,-0.08718288016719167,144712
27,-0.08136165449361142,196583
28,-0.08071275398498566,229754
29,-0.06955148395777738,215484
30,-0.06832184687763874,143853
31,-0.08303686447491822,104227
32,-0.06791495962321072,117862
33,-0.06163532395675722,144371
34,-0.05738906091967567,197328
35,-0.06020276903614141,231263
36,-0.04814444803142732,215734
37,-0.0494980322611271,144376
38,-0.0685709144221976,104875
39,-0.048914449544481695,119286
40,-0.046589774159301024,144960
41,-0.045447046974505106,197232
42,-0.04882101041672334,231755
43,-0.03894525491436673,215663
44,-0.04231139907927655,144458
45,-0.06365613954900688,105052
46,-0.05250560969333246,121370
47,-0.04094577734559059,146440
48,-0.04539304746701769,198399
49,-0.04766032892518495,231248
50,-0.037339477577014016,211969
51,-0.04616830053833607,142878
52,-0.06807618120561398,104493
53,-0.06097338141400626,122138
54,-0.04309620866890792,146241
55,-0.04461996239237402,197391
56,-0.045032139605549346,229212
57,-0.04314437076906533,210973
58,-0.05278169871295505,141734
59,-0.07698997371225237,103673
60,-0.06431743035466334,120264
