days_to_event,mean_pct_change,std_pct_change,median_pct_change,count,q5_pct_change,q10_pct_change,q25_pct_change,q50_pct_change,q75_pct_change,q90_pct_change,q95_pct_change
-60,-0.4207135040552945,55.43849089973233,-0.5135227661759778,98559,-40.41379310344827,-23.75366568914956,-10.315789473684212,-0.5135227661759778,11.252268602540827,32.710280373831765,56.04113110539848
-59,0.03913626513240927,54.20545246837612,-0.4922067268252617,109115,-39.190303839732884,-23.469387755102044,-10.38798498122654,-0.4922067268252617,11.325385694249658,32.98774740810557,56.25
-58,0.05862344009250628,48.87422560270749,-0.6956521739130417,134775,-36.082474226804116,-22.56624825662482,-10.290948275862066,-0.6956521739130417,10.71428571428572,30.917874396135268,52.68336314847944
-57,0.13265415625397398,49.55129312165012,-0.6802721088435326,187380,-35.25305410122165,-22.177091795288383,-10.065645514223199,-0.6802721088435271,10.605249062667355,30.248780487804904,51.871192341166214
-56,0.04192500199029837,50.737324393017495,-0.5882352941176561,222593,-35.749588138385505,-22.18309859154929,-9.999999999999998,-0.5882352941176561,10.644910644910643,30.453020134228193,52.07423580786026
-55,0.50552214963535,49.77451734255693,-0.5479452054794609,209232,-34.11294922989161,-21.52338166224219,-9.768637532133672,-0.5479452054794609,10.653222270933792,30.252100840336137,51.69029443838604
-54,0.1391273064517875,51.22196163784497,-0.5730539597794682,138974,-34.95327102803738,-21.578947368421055,-9.677419354838712,-0.5728314238952592,10.507246376811597,29.71652382983674,51.2084592145015
-53,-1.1562171636552345,52.112137348717575,-0.4986447817457218,99494,-39.259259259259274,-22.746781115879834,-9.765819631290483,-0.49864007252946596,10.404191616766468,30.236634531113047,51.6509433962264
-52,-0.5966055338045837,50.73928764833989,-0.5000000000000004,111121,-37.60217983651226,-22.50733137829912,-9.830508474576272,-0.5000000000000004,10.504987531172084,30.154639175257735,51.280276816609
-51,-0.5389747477587085,49.54757714941484,-0.6915098984474899,137412,-34.824281150159756,-21.568627450980394,-9.682687820811942,-0.691244239631339,9.986504723346833,28.301886792452823,48.38709677419355
-50,-0.5001330512197311,47.813029867358246,-0.6539235412474809,190101,-33.793103448275865,-21.14224426866873,-9.539473684210531,-0.6539235412474809,9.786470732605235,27.77777777777779,47.36842105263157
-49,-0.57629331397289,48.44261649211902,-0.5879472259030905,225870,-34.22222222222222,-21.12211221122111,-9.398099260823656,-0.587659157688547,9.809264305177102,27.98982188295165,47.758284600389864
-48,-0.3110296054051514,47.59947406421973,-0.5988413746650767,209920,-32.86713286713287,-20.659062103929028,-9.29032258064516,-0.5988023952095856,9.72222222222221,27.424483306836265,46.811308349769895
-47,-0.6537142413962268,49.01168093353713,-0.6284117700677605,139234,-33.15412186379928,-20.584036340038935,-9.206349206349207,-0.6278927225254693,9.578544061302674,27.164179104477594,45.90643274853803
-46,-1.8347492440838202,50.022215390663824,-0.5277849730552064,100074,-36.723672367236716,-21.580717488789237,-9.226190476190476,-0.527704485488123,9.56043956043957,27.62430939226519,46.875
-45,-1.0215026392377182,48.21902303079722,-0.48199224320959466,115342,-35.023041474654384,-21.212121212121204,-9.17829457364341,-0.48192771084337727,9.677419354838701,27.684478371501275,46.638655462184865
-44,-1.1153753485094688,47.05475324727479,-0.6792324868974686,140348,-32.831325301204814,-20.448877805486276,-9.11971830985916,-0.6791171477079749,9.136857765407647,26.03845240920957,44.09090909090907
-43,-1.3278262812824464,45.78411965483617,-0.7352941176470562,192664,-32.23852040816326,-20.133111480865228,-9.058177214601793,-0.7352941176470562,8.892617449664431,25.21408182683158,42.67912772585669
-42,-1.4723948286701236,46.70051969614549,-0.6650041562759723,225575,-32.55813953488372,-20.112781954887225,-8.937437934458792,-0.6650041562759723,8.867398787084092,25.125628140703515,42.499999999999986
-41,-1.055940701613246,45.537276069589865,-0.7042253521126751,208323,-30.89430894308943,-19.50146627565983,-8.793456032719826,-0.7042253521126751,8.727272727272716,24.63235294117647,41.46842878120414
-40,-1.5712371764460822,47.793769552644605,-0.7287634174373836,138840,-31.5008025682183,-19.574056147144237,-8.716754028343999,-0.7285974499089298,8.552869000360875,24.33754586220953,40.98765432098765
-39,-2.635027250925811,48.61112315358739,-0.6249999999999978,99677,-35.32631578947368,-20.58011049723757,-8.703703703703702,-0.6249999999999978,8.60426929392446,24.656488549618306,41.66666666666667
-38,-1.8603595396839627,46.98825112013849,-0.5602240896358524,115838,-33.108108108108105,-19.82116244411326,-8.658942481460707,-0.5602240896358524,8.749999999999991,24.590163934426236,41.796875
-37,-1.8800346617452361,45.29452238547914,-0.7506255212677226,141746,-31.160493827160497,-19.263456090651555,-8.591549295774637,-0.7506255212677226,8.219178082191792,23.070504797663748,38.92017520336104
-36,-2.0749934091203808,44.11453807912301,-0.7799315865711531,193246,-30.67632850241545,-19.07894736842105,-8.51648351648352,-0.7798960138648114,7.985480943738654,22.51420454545454,37.94749403341289
-35,-2.28058730899793,43.04939124114898,-0.7581820492791214,226908,-30.985915492957737,-18.9873417721519,-8.410914927768854,-0.7581501137225222,7.916402786573773,22.480620155038757,37.54646840148699
-34,-1.7834390210318072,43.384214853867064,-0.7456363542378663,208286,-29.268292682926834,-18.398072869617586,-8.245390235416906,-0.7455099966113266,7.824386003042827,22.03261281759574,36.50118203309694
-33,-2.2433122083402766,45.591448427036674,-0.7422068283028271,138679,-29.47510094212651,-18.34061135371179,-8.212058212058215,-0.7422068283028271,7.593856655290088,21.666666666666657,35.849056603773576
-32,-3.3669460375065254,46.55556050893046,-0.618253190872392,100150,-33.08823529411765,-18.948126801152743,-8.118657298985177,-0.6179196704428458,7.705122865472713,22.118380062305288,36.46503646503647
-31,-2.8099733343676476,45.13651117377123,-0.54656121660831,116105,-31.490384615384613,-18.721109399075498,-8.029197080291972,-0.54656121660831,7.90909090909091,21.875,36.274509803921575
-30,-2.551627273248313,43.40684358595863,-0.658857979502192,141977,-29.37931034482758,-18.000000000000004,-7.987048030221267,-0.658857979502192,7.445077298616765,20.61170212765959,33.866666666666646
-29,-2.7369374217716778,42.09810407388411,-0.7142857142857117,194338,-28.713428357089278,-17.63727121464227,-7.838334353949772,-0.7142857142857117,7.14285714285714,19.83805668016194,32.584269662921336
-28,-2.871025769828236,40.63863058838788,-0.6410256410256387,228840,-28.60360360360361,-17.425833552113424,-7.67172167707405,-0.6410256410256387,7.098020280057926,19.6078431372549,32.18390804597699
-27,-2.5291890349287014,39.351242223859586,-0.5917159763313584,209974,-27.053941908713707,-16.76670668267306,-7.446808510638315,-0.5917159763313529,7.025316455696196,19.136191677175283,31.24671883202921
-26,-3.059398414432825,40.120471553801515,-0.6020804662835055,139669,-27.5974025974026,-16.727272727272723,-7.307171853856564,-0.6020804662835055,6.78466076696167,18.75,30.567685589519655
-25,-4.07989439757131,44.014466537352135,-0.4840191483032108,100294,-30.15873015873016,-17.21212121212121,-7.2339146121467195,-0.4837767953957739,6.8164213787761385,18.77791931693298,30.606633442172203
-24,-3.4082903453689632,42.064224478157634,-0.460299194476399,116833,-28.668941979522188,-17.000000000000004,-7.185332011892964,-0.460299194476399,6.944444444444442,18.775510204081634,30.46875
-23,-3.191447919368715,37.936583659735035,-0.5235602094240899,142657,-26.80577849117175,-16.312721215906723,-7.1200534560843405,-0.5235602094240899,6.528189910979232,17.613636363636353,28.54545454545454
-22,-3.255474465837742,37.16255986687545,-0.5447179439248162,195844,-25.83333333333333,-15.857605177993516,-6.9346733668341765,-0.5446623093681935,6.247170665459478,16.916570549788545,27.397260273972602
-21,-3.533890939610319,37.83878526672294,-0.4878048780487809,230865,-26.011560693641613,-15.619967793880829,-6.762705082032805,-0.4878048780487809,6.10169491525423,16.43835616438356,26.731403444485167
-20,-3.1541185306248027,36.120749103468654,-0.462962962962965,212682,-24.242424242424242,-14.915254237288146,-6.485013623978208,-0.462962962962965,5.935613682092544,15.838509316770178,25.65597667638484
-19,-3.5945278509109153,36.56762103872049,-0.43842218495993013,141562,-24.183006535947715,-14.65736040609137,-6.2893081761006275,-0.4383218534752653,5.685131195335269,15.283500098096914,24.56931911402791
-18,-4.7477642935850985,40.155135196943384,-0.3893805309734488,102319,-26.88679245283019,-15.202702702702709,-6.25,-0.3893805309734488,5.626598465473132,15.277777777777768,24.79674796747966
-17,-4.0747553777997885,38.54169006378271,-0.38040902562469503,119606,-25.512104283054004,-15.024630541871907,-6.287787182587657,-0.38022813688213253,5.781627719580973,15.454545454545453,24.85380116959064
-16,-3.8389451991651513,35.919376021439874,-0.4643286057417373,145526,-23.69230769230769,-14.310197086546705,-6.099922540666148,-0.464285714285706,5.429553264604814,14.338235294117663,23.0
-15,-3.995713895020511,35.747439727162934,-0.4608294930875556,199005,-23.01790281329924,-13.826366559485537,-5.925925925925912,-0.4608294930875556,5.142857142857138,13.636363636363647,21.694513879752677
-14,-4.114622681666176,35.68157621009893,-0.39447731755425375,233694,-22.413793103448263,-13.448694596235566,-5.6521739130434785,-0.39447731755425375,4.998169168802646,13.17659923455441,21.075523922499006
-13,-3.8613158199135436,34.046034034349276,-0.3780718336483968,215465,-20.833333333333336,-12.710691823899378,-5.391394504924829,-0.3780718336483968,4.747074367685911,12.450255827174539,19.71496437054632
-12,-4.302655019389293,34.90363805287275,-0.3383782658478163,143100,-20.729001794690095,-12.41105064880703,-5.139703345981372,-0.3382949932340895,4.468764249886004,11.847209788122948,18.644067796610166
-11,-5.532582976746088,38.6688485329693,-0.31088082901555847,103353,-23.076923076923084,-12.863070539419097,-5.117935024477072,-0.31088082901555847,4.391891891891886,11.83574879227054,18.852459016393453
-10,-4.717709428718701,36.08290185268664,-0.2913819137486007,120018,-21.55172413793103,-12.598791259879128,-5.133928571428581,-0.29121863799284053,4.501966775517752,11.904761904761907,18.978102189780998
-9,-4.31888247740644,34.02000040238111,-0.3086419753086489,145950,-19.73087153810046,-11.820083682008375,-4.913793103448283,-0.30864197530864335,4.28736964078793,11.17318435754191,17.653061224489775
-8,-4.443813042774688,33.64860064750534,-0.30353200883002085,199899,-18.736692689850965,-11.19867274989631,-4.630872483221471,-0.30353200883002085,3.960396039603964,10.425928581672173,16.374269005847953
-7,-4.493789090403389,33.59637863549742,-0.25125628140702516,235184,-17.836812144212523,-10.557233971131252,-4.311543810848406,-0.2512562814070196,3.7183098591549335,9.741468863164293,15.46218487394957
-6,-4.156557062470393,31.9513507510545,-0.2087410306588544,217163,-15.954586196593967,-9.612403100775191,-3.931124106562711,-0.2087410306588544,3.379224030037542,8.910891089108919,14.123222748815145
-5,-4.488555676447771,32.181066208440996,-0.2169197396963085,144315,-14.952211242507696,-8.823529411764708,-3.5618279569892497,-0.2169197396963085,2.9441624365482255,7.9310664319466095,12.669471715755055
-4,-5.745169429718136,35.80742902480646,-0.1386962552010984,104465,-15.893587994542969,-8.603942652329755,-3.289473684210531,-0.1386962552010984,2.69487105186903,7.407407407407396,12.141652613828002
-3,-4.99897839530181,33.937447608986425,-0.10827017573081799,121485,-15.194346289752648,-8.604906627608933,-3.2989690721649367,-0.10827017573081799,2.8215223097112885,7.708779443254832,12.32227488151658
-2,-4.470343281433955,31.818350467614266,-0.09492222414439477,147194,-13.450292397660824,-7.9626972740315605,-3.1100478468899517,-0.09469696969697239,2.680432840266067,7.164131979695432,11.364530082579627
-1,-4.111303796045133,30.330518919465423,0.0,201490,-11.15625,-6.521739130434778,-2.4390243902439046,0.0,2.119205298013238,5.846027171675594,9.563758389261757
0,0.0,0.0,0.0,239704,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-3.763735522125216,27.865097268075324,-0.10392637005735006,218780,-14.201680672268902,-8.236865538735538,-3.0303030303030276,-0.10392064241853127,2.355250245338558,6.703910614525133,10.831234256926958
2,-4.249134644931166,34.201769953739785,-0.22123893805309214,144689,-17.411003236245946,-10.416666666666663,-4.026050917702784,-0.22123893805309214,2.9787234042553346,8.202880400751411,12.922658375437223
3,-5.344081390271748,38.108130833559116,-0.29239766081871066,104912,-19.797882062033,-11.326732673267326,-4.298642533936647,-0.29239766081871066,2.932882120699376,8.303249097472932,13.311897106109317
