days_to_event,event_count,sharpe_q5,sharpe_q10,sharpe_q25,sharpe_q50,sharpe_q75,sharpe_q90,sharpe_q95
-60,0,,,,,,,
-59,0,,,,,,,
-58,17200,-22.608996264911177,-15.662824484847551,-7.283449740332665,0.062159093733890926,6.974443869916172,14.961198747879147,21.712858224128524
-57,78587,-22.516436519909306,-15.251937949332067,-6.828430198063366,0.1085732395000993,6.84046287467498,14.544377884587943,21.158122409499242
-56,208802,-21.485947995391207,-14.53957041954224,-6.635374687067295,0.06864196923280494,6.47452860204909,13.687785406476168,19.85911459892259
-55,237813,-17.17847915715861,-11.964041871291414,-5.589823608687302,0.11748324897220286,5.759852114127539,11.661141778963836,16.513447020755763
-54,238503,-14.816467162421159,-10.616568896998759,-5.033478043856638,0.15088588605395079,5.324532041195915,10.587612105494513,14.500961148187702
-53,238544,-13.846507455329812,-9.937214244596298,-4.7542684265078705,0.1654451996799033,5.095829346054935,10.043496379159548,13.747180395670723
-52,238634,-12.967673008991062,-9.399130964946352,-4.496884010425795,0.15832624391469816,4.821023275992166,9.492531065185071,12.89628670793748
-51,238867,-11.967250606831966,-8.7673656929603,-4.227186788056734,0.14816077264469873,4.527821685613428,8.837129498273349,11.882510406116776
-50,239389,-10.903769447433715,-8.05643387022201,-3.897159151476306,0.16711033941616,4.21828204494026,8.134760946750106,10.845520468990099
-49,239594,-10.363179287315905,-7.693370002837448,-3.7187654503733403,0.16566155720448583,4.03164911236161,7.787345329383143,10.308623886423286
-48,239794,-10.000666244685657,-7.403319881490362,-3.604676129612845,0.19179670446655805,3.9559117049288046,7.5849040738840445,9.968493818589216
-47,239826,-9.978557824494496,-7.3784830525444525,-3.573765798725917,0.2009858827549288,3.987787572220495,7.619466780262735,10.046930462881623
-46,239695,-10.390427694835616,-7.6642842322610045,-3.6938889484259287,0.19531365424756317,4.096129362178042,7.879595654250095,10.442455042371645
-45,239593,-10.945449389645054,-8.049591372841416,-3.8829453099127575,0.18132120786025968,4.192539698962259,8.136403883583405,10.778578459515327
-44,239586,-11.180116108790603,-8.265523729607358,-4.017500075099793,0.11991770197672824,4.214004843538376,8.235650807534444,10.972425467811469
-43,239780,-10.983076319228092,-8.131709705536347,-3.9889266288464924,0.08788687854949163,4.069669552072915,7.98682132457979,10.678204539234192
-42,240003,-10.496204427517906,-7.758332566566702,-3.8036680529692695,0.10071976281033669,3.932531393060712,7.658841213995068,10.177203482252255
-41,240277,-10.0096970214916,-7.412128013026596,-3.62070806539694,0.15274726544065256,3.869788601330403,7.448931605882741,9.840752501364536
-40,240407,-10.025268958820124,-7.400877819846135,-3.5798331247106248,0.1870021196899693,3.89764493535564,7.506459243180165,9.923632453162664
-39,240290,-10.379544403855588,-7.644202109629516,-3.6792613364543545,0.19045784656532755,4.021484620924488,7.763911393798861,10.314550151929144
-38,240112,-10.819443991527447,-7.94103987335043,-3.8277164666215544,0.1659386191790715,4.109135612913209,8.0286551835123,10.638414556271291
-37,240065,-11.102506484434617,-8.183463638059722,-3.946935133968665,0.12728053893137883,4.164366931512208,8.140073473502694,10.86979232215357
-36,240158,-10.935798448380709,-8.043914827795726,-3.8803659974799447,0.10610619700407109,4.042297897778517,7.9152012391849444,10.543525833281088
-35,240418,-10.406210766213686,-7.676439977285389,-3.7271256940066007,0.11064819088486533,3.9011335472729387,7.568687089770464,10.055589749755251
-34,240660,-10.050134197278128,-7.417281640581781,-3.5679293273006394,0.1489750839178587,3.8430010256636082,7.394673312224304,9.767273378124703
-33,240777,-10.078310307459537,-7.417968354383249,-3.563299937771276,0.1798195418501208,3.884848810273356,7.429567819627314,9.812282120841624
-32,240624,-10.431736070035889,-7.682561030101559,-3.654675883943199,0.20658209545875938,4.042164006353852,7.788342881704067,10.290301230320207
-31,240257,-10.860574981909233,-8.005352464958703,-3.8166141070974806,0.18611103710074733,4.146691262435957,7.9822929932737265,10.65569401371368
-30,240069,-11.119306115936912,-8.186787428724259,-3.922079382616632,0.17285021237559445,4.173591136793331,8.133893698493933,10.83675110507527
-29,240207,-10.938706033328444,-8.016807654803516,-3.881798369196538,0.15074960699683396,4.084232542649637,7.958497088655017,10.557390166612759
-28,240357,-10.449828077703785,-7.683104782299953,-3.6876047388496755,0.16547492796380073,3.968275503063803,7.6374595528842475,10.162361662066207
-27,240596,-10.06252254683194,-7.387780304333686,-3.531474312411207,0.2417200514094553,3.9280022805553534,7.48724861142803,9.962746209153163
-26,240738,-9.995101157110476,-7.3480089183025425,-3.4870165640423307,0.2800747216258219,3.993007159069606,7.566880478926197,10.010617660231999
-25,240605,-10.40470882220575,-7.591233517517759,-3.5811510191386677,0.28391810901980885,4.168895844046209,7.913951141069206,10.490257997254439
-24,240421,-10.718445262112814,-7.870229202391279,-3.7293856111062835,0.2654779261333318,4.278148848865433,8.218698123094216,10.906763255467576
-23,240303,-10.922180292769037,-8.050189917293288,-3.838354162437951,0.26483903631924605,4.337026101074963,8.378018175165934,11.135943610452426
-22,240650,-10.794176172665946,-7.944151401411509,-3.772364803578517,0.26742031620732115,4.272240333961169,8.182962197997638,10.925070315045094
-21,240990,-10.390117641705215,-7.627488316276322,-3.617887587913928,0.27439099002381584,4.135694236686622,7.84619844000583,10.402777958625684
-20,241320,-10.04037747840525,-7.347271275868717,-3.4722136930459984,0.3089981974872741,4.056170796678987,7.6479586866188995,10.066904729037923
-19,241478,-10.003244603829915,-7.341719275293104,-3.455112204483967,0.3393505151329852,4.071355436118567,7.668638840479877,10.054128441218168
-18,241333,-10.321804230634555,-7.580058371007463,-3.54986425191486,0.3582644241100285,4.197764879166744,7.948813938414722,10.471053072943716
-17,241133,-10.729146482050878,-7.884512872996359,-3.725601872432537,0.30407193278994316,4.299343056248737,8.169011306034461,10.853333839785988
-16,241077,-10.976123261122629,-8.109506133904558,-3.8488991388619995,0.2732870682755751,4.350875356368579,8.332463560340388,11.077477790083021
-15,241295,-10.814102656767304,-7.982653469935019,-3.8065278025989233,0.2579629228197688,4.239112734755347,8.164198841802223,10.816513311443357
-14,241500,-10.305589362876201,-7.599229764672473,-3.629933373834217,0.27812480114075316,4.132758995312013,7.861267673960286,10.407062069163498
-13,241677,-9.905814353778707,-7.314793430298466,-3.491575236401438,0.2951484206730411,4.046759104073151,7.624754959075482,9.98774010497065
-12,241684,-9.853275784877287,-7.303680663721419,-3.4532360249459053,0.301050011235473,4.052124602096915,7.59847223908256,9.950558591242904
-11,241635,-10.212715562518907,-7.552104198018657,-3.579197894196472,0.29695475831705787,4.132772317328303,7.848046875259698,10.336384523861929
-10,241571,-10.568329025751012,-7.81042403252451,-3.718888803242443,0.27347292561614667,4.27053904522867,8.138479994435421,10.738951167183634
-9,241567,-10.822931331067776,-7.951643333751174,-3.791758464946669,0.27103041305355097,4.314441499286658,8.27736420844991,10.952731191859163
-8,241620,-10.561219472485583,-7.786474462049736,-3.6763174506236806,0.2954423217970179,4.23366936761385,8.113593623882734,10.772630569469046
-7,241676,-10.062908538736872,-7.4374093362321485,-3.4950762898124874,0.3027434331852036,4.0870614637709135,7.778441051784265,10.265704999431414
-6,241732,-9.68772145265672,-7.147769029368094,-3.3871368206128443,0.3116129498790484,3.997911479392681,7.516331177193385,9.91192671625237
-5,241752,-9.666652829620782,-7.167657158165028,-3.3909384010591057,0.30801708639916614,3.9963378861807497,7.5273568144617204,9.937013797491376
-4,241744,-10.046319763112642,-7.41009083355669,-3.478566497460637,0.34625193543772514,4.144986982659953,7.792189252033815,10.27149722093728
-3,241714,-10.422170563326114,-7.689217423876921,-3.611888348657657,0.34194716113625,4.266392085586681,8.067480775424455,10.662566865355421
-2,241710,-10.562340223076093,-7.767082702169502,-3.6462773915209956,0.35416578591232084,4.336855571553247,8.243685525992083,10.89881703336425
-1,241737,-10.268345515159103,-7.558650917487005,-3.5143375755332,0.4077858194410732,4.296277693831472,8.066544140265233,10.628885393261767
0,241817,-9.556453029825384,-7.092340634839072,-3.408477274277315,0.4599013666134471,4.264004757193406,7.673958906598947,9.963624771970016
1,241870,-9.159044105692686,-6.955542426378578,-3.53300759785825,0.36815631008586924,4.200119996033989,7.420943144525737,9.493717867218942
2,241994,-9.28655351970336,-7.064156678659424,-3.585094798109846,0.34414856605569877,4.196773852401077,7.434876637091728,9.507104721830737
3,242027,-9.667349292645863,-7.333694142640731,-3.7395444024489612,0.32933044000740314,4.322903448184654,7.670691672394319,9.879648195334985
4,242193,-10.220878521175749,-7.728015293884271,-3.9312632949630233,0.31118182533186806,4.468604511462842,7.985344639189085,10.308095448549262
5,242613,-10.595882379028673,-7.99221598227051,-4.08012478315421,0.2661890283213079,4.557482170031246,8.171994136009104,10.600854442849357
6,242712,-10.462882676810409,-7.918148300401303,-4.029707271505791,0.25276759724689146,4.472232272907547,8.078957226318764,10.473213777270452
7,242735,-10.085690513571988,-7.5997991151330995,-3.880731916287834,0.24371168111022018,4.294819383138602,7.763909112179262,10.050459046811621
8,242751,-9.811282269086757,-7.413849968165024,-3.7927063049272887,0.2331264565435703,4.180071229563767,7.5540350813787605,9.748355666690781
9,242728,-9.840686278201183,-7.466498856023064,-3.8425985732396724,0.22212309957237414,4.214462322179562,7.587884725535892,9.742997552760398
10,242689,-10.336690314179513,-7.817782001783274,-4.038868491324938,0.19978017412083168,4.36768288570221,7.852005838615673,10.127405134126887
11,242632,-10.866718328464565,-8.128271508074876,-4.154120588603215,0.1437861921400607,4.358536176841038,8.045967518458978,10.499090484644153
12,242597,-11.003788590608046,-8.127172278001936,-3.917022328726722,0.17669196591588954,4.229903223452587,8.13260534078685,10.773060441014206
13,242587,-10.701652748034608,-7.89983451433358,-3.7982143454393142,0.18768501474223487,4.1282441734799775,7.96120259504726,10.563406233345706
14,242601,-10.214437393244312,-7.53209259415696,-3.6217401245168634,0.18199921533317906,3.9610525020055496,7.629901963993948,10.054807145201634
15,242627,-9.80780633605127,-7.249889387445259,-3.4853953809820815,0.1992978267227494,3.8825730864002495,7.398687520263845,9.768105842683816
16,242632,-9.736937476637427,-7.193793442383258,-3.419510509372423,0.25096011752251357,3.9185312779035657,7.456825311496684,9.802093460111694
17,242566,-10.041806119699288,-7.410238994300598,-3.496056745161528,0.28759046356712836,4.083561865039883,7.739816299203701,10.17688669066369
18,242492,-10.451347779342482,-7.708435560666879,-3.6660542305698978,0.29072390430264294,4.233180520423165,8.064905302032255,10.63218121631692
19,242439,-10.674699251792763,-7.863983945141859,-3.7380705505131475,0.26479279319327287,4.267555538762867,8.202079749972448,10.879413099897484
20,242442,-10.446819221350987,-7.682481672241701,-3.6679260728155314,0.2599374449783799,4.201787455433442,8.051824962672598,10.675047326916436
21,242493,-9.942874521081572,-7.335000742144606,-3.479252720138811,0.25875223125645175,4.063826306473669,7.7440972509630415,10.213649356229427
22,242518,-9.58689402224297,-7.07800465802144,-3.353032306945674,0.2811478098182377,3.9755408069001374,7.5442306416986,9.902917872313946
23,242528,-9.576487857517666,-7.046873079053353,-3.3232522483090765,0.3239780842278315,4.007669683752354,7.567317085347351,9.978957491854187
24,242452,-9.9092996150981,-7.269276620375193,-3.4102804771935533,0.3575232704846164,4.179184816136625,7.84399972649908,10.372233348272733
25,242369,-10.3284477065762,-7.544534105304459,-3.5237807904113687,0.398722739229995,4.353997648425423,8.196493876182718,10.849009769845155
26,242339,-10.601474218337161,-7.7181281916365245,-3.6163820407882845,0.38281613837123346,4.431805871864022,8.379949558470901,11.090717570775936
27,242336,-10.428699160980955,-7.61733890347745,-3.5300838421732887,0.3811051808268182,4.346079940705655,8.203055739401428,10.83927108393218
28,242352,-9.932659608421863,-7.267980842733851,-3.399794791580013,0.3858072963645885,4.18788726849798,7.861293260592166,10.344745863814207
