days_to_event,avg_annualized_vol,median_annualized_vol,event_count
-60,,,0
-59,,,0
-58,48.396535095625346,30.623703172542665,17269
-57,46.25128918465117,31.4784241441658,77497
-56,46.12778059210905,32.03327717296499,205173
-55,46.69353956326281,33.23004566924337,214436
-54,47.55711087176947,34.28479629859277,143903
-53,48.996676121516735,34.89433188453458,103426
-52,49.2724486151002,35.18329295769157,114690
-51,47.77531689242706,34.40839467245498,141538
-50,47.60110001162598,34.30030893146297,194782
-49,48.02777116631786,34.48308770391654,230633
-48,47.72221483214099,34.41848656236936,215111
-47,47.83117680630079,34.470736240695224,143866
-46,48.86128976176952,34.66869389180965,103893
-45,48.82140376351892,34.93390652240057,118850
-44,47.697402816628525,34.275638080546514,144278
-43,47.44042737035613,34.068675241106746,196603
-42,47.70590052743581,34.318672400371206,229211
-41,47.46743832671136,34.31978146398955,212377
-40,47.81743375129205,34.44488088462492,142827
-39,48.75564420977814,34.66265582692706,102949
-38,48.36781351933076,34.59631933827644,119189
-37,47.34180101159032,34.24802942814446,144836
-36,47.33844712806943,34.32630164040327,195882
-35,47.681843036974726,34.50896686202008,229513
-34,47.59455021848774,34.50214269948674,211406
-33,47.834731384068625,34.54981206093879,141980
-32,48.49814529042726,34.61541773539646,103111
-31,48.23077899492992,34.74079262360028,118851
-30,47.3697748224988,34.25972114781409,144482
-29,47.288032422122065,34.27288692457678,196424
-28,47.587655375257256,34.44279572920873,230459
-27,47.534426629561125,34.415826322260514,211975
-26,47.838744603904885,34.573994104760324,142087
-25,48.62108049483069,34.649554026220876,102787
-24,48.44429966984311,34.63477056631306,119008
-23,47.67780083767492,34.194645968279886,144317
-22,47.488590586657466,34.13552835003438,197049
-21,47.78930192509957,34.324929954468956,231706
-20,47.572099573229934,34.282327432305394,214252
-19,47.84929055186363,34.47163699820479,143951
-18,48.58419936434598,34.72215037928338,104718
-17,48.238807496232376,34.4237787935764,121760
-16,47.19002881422875,33.85100874008744,147286
-15,47.06541500354675,33.86913181757099,200243
-14,47.35933788666933,34.14402884347434,234563
-13,47.21888191886384,34.165705598099386,216973
-12,47.54448469278794,34.27701756594722,145382
-11,48.32409865715556,34.56013012006755,105661
-10,48.22205048481867,34.515396344008565,122289
-9,47.079382825932385,33.80009632465565,147925
-8,47.08023601484344,33.93849959109704,201238
-7,47.53709931253683,34.29375930756895,235904
-6,47.37587668204961,34.41942858373754,218508
-5,47.83284202020432,34.692796855488055,146468
-4,49.05390360059041,35.33168288683686,106689
-3,48.73432771058894,35.29703143546211,123667
-2,47.48160661086396,34.582895720051944,149042
-1,48.02362067709432,35.037017515536355,202585
0,55.38624968372736,40.64869246824746,239244
1,65.33939729974594,49.064918453681386,219652
2,66.26424976001276,49.94773653456982,146524
3,66.02783154141846,49.18822767488172,107019
4,65.51613743084175,49.18980673355988,125120
5,65.09871621252334,49.15054423539988,150069
6,64.95407492584114,49.114419595672345,202946
7,59.93972104997273,44.45869185727353,237035
8,50.854853175580914,37.95046656827684,219622
9,48.827856395600186,36.23655899756486,146631
10,48.72357411448124,35.658995544406466,106325
11,49.041086919099904,36.09206227574161,124823
12,47.685665801743674,35.117914590362574,149359
13,46.90047643964079,34.53473305789406,201239
14,46.745471087869454,34.33436332927484,233456
15,46.505173064624955,34.218456095764964,217712
16,46.6313642013239,34.12049606573001,144988
17,47.4803287379551,34.29410417695731,105071
18,47.402968496243126,34.2810265429144,122279
19,46.291996542929304,33.757198626608144,147278
20,46.09995310366086,33.62752258528721,198637
21,46.41482894604051,33.75484704660215,229992
22,46.086312095706724,33.615114714128225,216473
23,46.290775456727395,33.70102759083934,144812
24,47.11356405270416,33.77890509461109,104584
25,47.51980327031067,34.05847482868246,118933
26,46.55243192844275,33.50215767911069,144595
27,46.30364499298684,33.488190421032755,196438
28,46.55003338426086,33.67061642471072,229609
29,46.210666051718384,33.587074631411404,215389
30,46.40722260673896,33.72047613667397,143789
31,47.621736464022376,34.143285360726495,104153
32,48.11304661849823,34.49708001224349,117740
33,46.82472071915215,33.72667218010098,144223
34,46.61820017614542,33.738480838201895,197190
35,46.87973109467331,33.996832826544384,231131
36,46.77815907230656,34.00003483415863,215661
37,47.12109847359022,33.98371656608499,144331
38,48.11979315120281,34.4460627224651,104809
39,48.37120270144783,34.735285140675174,119235
40,47.10677186709558,34.02411805816573,144893
41,46.758269165563966,33.82901631800728,197075
42,47.02501098465607,33.981727071236406,231549
43,46.95142622701983,33.94579740256516,215543
44,47.27800939045592,34.037690263397856,144392
45,48.08411854075853,34.23175495501218,104969
46,47.94457151870767,34.45043833398932,121189
47,46.709662748801925,33.696099378058584,146227
48,46.72226464600473,33.66712362335302,198156
49,47.18311589165806,33.9565642087064,230859
50,47.24920880546164,34.067566949519524,211711
51,47.70686111712812,34.189253590038945,142811
52,48.65963591222099,34.44553558683621,104325
53,48.069240816207646,34.44734501224155,121794
54,46.99708201535403,33.9777798482897,145866
55,46.97025947277318,34.00916181901182,197012
56,47.52924850531859,34.31384768629242,228748
57,47.50513201299592,34.38312921047182,210675
58,47.79740766468299,34.5463916423748,141680
59,48.61642124002412,34.83508530391919,103548
60,48.480404928982516,34.84068658057849,119762
