days_to_event,avg_daily_return,count
-60,155.14503401074657,525
-59,13.634253368162211,568
-58,14.413705816655732,626
-57,2.5624623249303116,758
-56,-0.5809298855509981,871
-55,-0.17952028167535025,581
-54,-0.022683663137656133,409
-53,-0.34407349309538043,529
-52,-0.12831167999288723,578
-51,-0.06648836272105758,618
-50,0.1871171884530624,767
-49,-0.24135276344456166,866
-48,0.07403480240493344,580
-47,-0.03363490242819675,412
-46,-0.2718735273339965,530
-45,0.10753203758566532,571
-44,-0.3584752449022758,617
-43,-0.1193860533664005,765
-42,-0.13833563209754077,865
-41,0.13654943925822816,579
-40,0.2570969784302156,412
-39,0.0928634583381339,543
-38,0.26039838540527543,572
-37,-0.44706997572507123,616
-36,-0.12083564837253652,767
-35,0.32217008333474706,875
-34,-0.01773291732634361,579
-33,-0.11037909331689112,413
-32,0.29557790229252784,524
-31,-0.0005029103512344639,566
-30,0.7579729175236206,622
-29,-0.09346864030507371,761
-28,-0.1794327161460909,866
-27,-0.7155947541545125,570
-26,-0.5312626330893363,406
-25,0.23022532350238756,515
-24,-0.2980582043530903,561
-23,0.2817744193568503,622
-22,0.10593268167555935,755
-21,-0.21983856310978722,865
-20,0.1929320577036405,573
-19,-0.6920603678867925,411
-18,0.041336559395112396,532
-17,-0.006736819305395328,573
-16,-0.03590043640878702,624
-15,0.1051062183985618,765
-14,-0.3981828950676385,869
-13,0.2823192647835073,578
-12,0.2908994010260292,406
-11,0.3398858819337073,533
-10,0.8998672652025993,572
-9,-0.049127471565059866,625
-8,0.09839266617306294,763
-7,0.8158669134104553,871
-6,0.2288286907237248,574
-5,-0.5008613118452605,407
-4,-0.42495796921882356,526
-3,-0.07290476146055655,578
-2,0.39561208830060957,633
-1,0.08163032304715656,764
0,0.5214160554842265,888
1,2.4159275921211214,574
2,-0.31328304831714443,399
3,0.1555919397736595,506
4,0.29601049989483297,562
5,-0.13479406522755435,610
6,-0.1142383376008144,750
7,1.0153303780918823,862
8,-0.08297455914519336,571
9,-0.3353314885320817,405
10,0.14619810515565135,526
11,-0.3681682149304018,556
12,-0.6582875937600438,611
13,-0.2891122345010562,762
14,-0.26931322790255346,859
15,-0.31130041181576157,578
16,-1.1592117605701557,407
17,-0.16696471011172045,533
18,0.11348680240728481,560
19,-0.172666545074213,610
20,-0.2839147830834412,765
21,-0.4096287778998657,867
22,-0.040807930031731644,576
23,-0.01486982164721621,407
24,-0.09374978185456702,522
25,0.0951175861763481,570
26,-0.14020206652830386,616
27,0.4174231594288866,743
28,0.013705721733296478,869
29,0.7887337557872621,584
30,-0.5972542069957414,410
31,-0.59105488656214,509
32,-0.2420673161077672,555
33,-0.11868692657332165,612
34,0.008726053973848175,748
35,-0.08595530534198695,864
36,-0.05632696509779474,588
37,-0.561760647697511,415
38,-1.0318720036414353,529
39,-0.7938397522834465,567
40,0.0562951660327517,614
41,-0.11716692275004842,749
42,-0.24595375758008212,870
43,0.10668500401605648,585
44,0.3893175811460044,419
45,-0.6878808941989244,539
46,0.1074440054786747,562
47,0.7673449107398943,607
48,-0.22536643907631398,750
49,-0.03091070035826036,866
50,0.17280046904896107,584
51,0.13550539102774908,421
52,0.13243724296037862,546
53,0.017358402019361382,572
54,0.27527556181149837,598
55,-0.2013772275165095,743
56,0.06566878261044819,853
57,-0.056165455531339566,575
58,0.0364493147319479,407
59,-0.04958487415348742,538
60,-0.25890654044620703,564
