days_to_event,avg_norm_pct_change,count
-60,-0.2514864265103888,526
-59,-0.210373131133873,568
-58,-0.2345724194653137,626
-57,-0.23463075202090664,758
-56,-0.23206800272940684,871
-55,-0.2092804197616957,581
-54,-0.2280324947596442,409
-53,-0.21902678108848003,529
-52,-0.2162211893335706,578
-51,-0.24821572079099896,619
-50,-0.22637801741174865,767
-49,-0.1929131422810909,866
-48,-0.22194070052710202,580
-47,-0.18872996705100453,412
-46,-0.14242710497456096,532
-45,-0.17090824505828703,572
-44,-0.2545295393197857,618
-43,-0.22655798437139005,765
-42,-0.18733884515509866,865
-41,-0.19761470002087728,579
-40,-0.1347219742033813,412
-39,-0.09420381242670907,543
-38,-0.11289417987572921,572
-37,-0.21087414735662124,616
-36,-0.15794578040314808,768
-35,-0.07871239919676379,875
-34,-0.11596564510234357,579
-33,-0.07711778884248975,413
-32,-0.03280089146177397,524
-31,-0.09755608518589555,566
-30,-0.1606553844580785,623
-29,-0.14202304008776215,761
-28,-0.11955217163467802,866
-27,-0.16801884002842118,570
-26,-0.09884532478690802,406
-25,-0.044050168723889255,515
-24,-0.09983690443035301,562
-23,-0.11971607893823101,622
-22,-0.11185821637924713,756
-21,-0.0990779042923393,865
-20,-0.08328571721615065,573
-19,-0.11573958926332109,411
-18,-0.018371608025475637,532
-17,-0.04846803899904727,573
-16,-0.1161867223278173,624
-15,-0.08756024709962745,765
-14,-0.10923862730161021,869
-13,-0.12470114884709627,578
-12,-0.0907045002050342,406
-11,-0.06803395417399834,533
-10,-0.0814017431807741,572
-9,-0.09886889040875897,625
-8,-0.09253165504527182,763
-7,-0.09574099780836423,871
-6,-0.11101406804935254,574
-5,-0.1204643817084206,407
-4,-0.07646979688114237,526
-3,-0.09342136457379425,578
-2,-0.04123128911576229,633
-1,-0.034088554774971774,764
0,0.0,888
1,0.075866834683217,574
2,0.07563571618674396,399
3,0.0374672418158748,506
4,0.05557119595840147,562
5,0.03584366900778011,610
6,0.055436605304213175,750
7,0.04875336927598619,862
8,0.08628970259202572,571
9,0.08965043591300213,405
10,0.035389357317585884,526
11,0.059822468087493176,556
12,0.008106861516774273,611
13,0.020004893209048108,762
14,0.028405336752765912,859
15,0.0778309957361864,578
16,0.07366120002016188,407
17,0.025087550284390265,533
18,0.048380743912741865,560
19,0.024149833723572194,610
20,0.043569670876657744,765
21,0.03193272221010661,867
22,0.09296432775242523,576
23,0.07010519510285257,407
24,0.028654029556953207,522
25,0.03271719385127409,570
26,-0.019705309212392032,616
27,0.01951470448594544,743
28,0.020333377701413816,869
29,0.07885096421810957,584
30,0.07539272776508839,410
31,-0.005769672257163814,509
32,-0.03343554447352144,555
33,-0.0875281927021354,612
34,-0.034339588234837216,748
35,-0.015101952969877654,864
36,0.03874517987813489,588
37,0.043662822699600264,415
38,-0.044489231795054006,529
39,-0.040359719451147275,567
40,-0.06825776286243314,614
41,-0.02202696452007338,749
42,-0.005134778261443989,870
43,0.0329241576401395,585
44,0.047473253274275165,419
45,-0.03310651233602006,539
46,-0.0335156796753816,562
47,-0.04851851323223117,607
48,-0.04507856884117029,750
49,-0.013833525181623353,866
50,0.020339193857385553,584
51,0.0760494403121716,421
52,0.020147703875520107,546
53,0.006329562289768846,572
54,-0.014356484541814296,598
55,0.014592612440127219,743
56,0.037302505592492916,853
57,0.024604047028508807,575
58,0.03953912563761746,407
59,0.025342060529723393,538
60,0.04092813632829878,564
