days_to_event,event_count,sharpe_q5,sharpe_q10,sharpe_q25,sharpe_q50,sharpe_q75,sharpe_q90,sharpe_q95
-60,0,,,,,,,
-59,0,,,,,,,
-58,273,-22.910204041027193,-16.042052284428486,-5.85420173817447,2.3557767893982664,9.27780235510402,16.893953854989743,26.68374528254709
-57,458,-22.38661023874889,-15.427943802470606,-6.531479735545462,1.5791002501817826,7.329885252562256,14.093061562304905,17.555101713453663
-56,834,-21.39090858881939,-14.376540147325468,-6.084885516806578,0.5792606489739633,7.132826466352784,13.365686125572093,18.444106749844
-55,901,-17.193233068305588,-12.531257865547913,-5.548704341908794,0.6689011273306606,6.078576443528869,11.689033155253243,15.790240906571764
-54,902,-15.857271384090886,-10.602565255223494,-5.237637544396323,0.4790601622282098,5.887278687979744,11.13784854128875,14.22928982448926
-53,902,-14.41083475970199,-9.996487193503848,-4.785937528146717,0.48983782851679847,5.394707880846935,10.262429923546927,13.960362209184524
-52,902,-12.701232073085459,-9.186909586588776,-4.5450002177263915,0.29996699722123815,5.113966584516827,9.281462482453474,12.367579644925021
-51,902,-11.452740353735235,-8.52588918010912,-4.265103125490507,0.28917055853746776,4.698130604172434,9.029710610620338,11.246507086476807
-50,902,-10.39201125314502,-7.771430121723617,-3.726229915544109,0.5792274395780093,4.430092161447165,8.402872399462609,10.829852026738267
-49,903,-10.338806617660147,-7.593560240555941,-3.706329948649841,0.6170937369729728,4.5247428081410686,8.833175080592659,10.859504576139045
-48,904,-9.541679913788442,-7.102660886906137,-3.6547818295856587,0.5515587018140728,4.791715588102441,8.423463742717948,10.92841084950882
-47,904,-9.59458139964078,-7.658113980885804,-3.760022991583845,0.867700826385647,4.952357148910806,8.508764866242746,10.74590616032282
-46,903,-10.273526242018622,-8.180926188308598,-4.107627328283319,0.7286757417212968,4.692837629059569,8.467146868993234,10.669210414267653
-45,902,-10.786230940708712,-8.320426122013243,-4.107622172913933,0.6241615704331057,5.160925152479317,8.709606416710617,11.222497659218504
-44,901,-11.371506855958417,-8.08063588431495,-4.050081645119605,0.41357243641756475,5.335256959564077,8.857594791734504,10.993054042956953
-43,901,-11.021872808129,-7.504095154496882,-3.4978285499377995,0.6193474369058968,4.930284751765331,8.686950745302617,11.293032766213752
-42,901,-10.361069121901116,-7.571119945523999,-3.516588752926475,0.6996610530539683,4.772310520502272,8.505313577996889,10.867736939889989
-41,901,-9.809793854151403,-7.804860613636922,-3.4699461776072065,0.6675730435577778,4.632323855039242,8.418004216661512,10.477591751692483
-40,900,-10.236954070319532,-7.8087396920970225,-3.4517969929320564,0.6813333217754614,4.464963321048758,8.57368264316841,11.25158169076575
-39,899,-11.330212347324313,-7.8322253511998,-3.7032735837865687,0.7556797039287754,4.61407982284582,8.70519469724965,11.010912711203174
-38,898,-10.346451369957029,-7.673787717307773,-3.3060719203379723,0.8045642732301335,5.197941309830849,8.865884036085165,10.881083378090832
-37,899,-10.511415644379715,-7.545186710365788,-3.478230626638741,0.7147542573937515,5.219787119687631,8.9532737068298,10.920078720629643
-36,899,-10.385206295127425,-7.381604312612821,-3.5785412779740575,0.9294407680621876,5.284694515246363,8.805321252087705,11.06275153003471
-35,900,-10.159711208327868,-6.925449137481118,-3.197715087236034,0.9818687917226727,5.0622581186541264,8.794470149625921,10.461809100400135
-34,900,-9.582258529697507,-6.932710965398904,-3.218285560059374,1.3597747227345476,4.830675188035953,8.635772428497491,10.854816373923214
-33,900,-9.403223832009337,-7.045582033289708,-3.2292955681577387,1.1664807727068645,4.976305581910874,9.487223515466075,11.752944372016435
-32,900,-9.38300964254252,-7.68540921185779,-3.2312307805680893,1.246064628260695,5.1272829151384975,8.849464644460573,11.892019383434912
-31,900,-9.082295264722465,-7.085242434509155,-3.2513731281798104,0.9837156355733865,4.8867279642047,9.199432468420023,11.69677506869564
-30,900,-9.478998159449363,-6.669599574643851,-3.1932274577743764,1.0219771600909735,5.035816393700734,8.406678682177743,11.205828410865161
-29,900,-8.994269861218653,-6.875830538824569,-2.9417269320777675,0.9250523029563142,4.8597353975840125,8.396448050176566,11.338485106895627
-28,901,-8.496394396130876,-6.259763594627317,-2.9903365822262344,0.9139469141718346,4.705388864404817,8.491652625788987,11.032213608749966
-27,901,-8.695352366637806,-6.503783950131126,-3.0217080490427635,0.5056080460556656,4.675936324845364,8.181164944383287,10.614280812157517
-26,900,-9.32922077972977,-6.987694298748836,-3.4888046528808765,0.6287665163398872,4.7995782550537,8.683843421047204,12.185964241044584
-25,898,-9.911464756978166,-7.640273988230919,-3.5832895625499743,0.6522383251103099,4.953888963771647,8.810569495960323,12.73748954084573
-24,898,-10.464919224857555,-8.188602697610209,-4.021012881887411,0.5295736911391787,4.497253092548114,9.450858111304699,12.858409586123429
-23,896,-10.500236648596134,-7.958519811703974,-3.4800417598541613,0.29550409771415187,4.376433314615499,8.804991852054961,12.191140549498312
-22,898,-10.60763250675482,-7.890526418353662,-3.6022042383194726,0.5456028091361775,4.561710722992975,9.462226740860915,12.097889968595753
-21,899,-10.325264915026024,-7.1006251026752585,-3.4062078322543683,0.45116343412424187,4.564048520137842,9.039918511615557,11.795423014846197
-20,899,-9.865835833038744,-7.139684644985953,-3.311482043798275,0.7112764850176341,4.596643095115928,9.093243471840546,11.98245555865538
-19,898,-10.186673442551125,-7.651127362641632,-3.6046956460143735,0.5889697492025934,4.7795349746132985,9.097520716982544,11.648764179705793
-18,897,-10.561304105144433,-8.127762846700081,-3.7862659002172423,0.4876760774174854,5.25862238326793,9.36959701386872,11.173776837646049
-17,897,-11.060368324916366,-8.45410851370217,-3.7450007042082034,0.8082657577666574,5.2643783904878285,9.104249119481672,11.418080019308869
-16,897,-11.190444649240233,-8.068626687559933,-3.7098163073058696,0.7939253047963029,5.406610416309358,9.133500107792818,11.289289588179168
-15,897,-10.360302982205576,-7.619755481496568,-3.4690141596205026,0.7218118366001519,5.163522708310189,9.11366870443018,11.607065214848962
-14,897,-10.358999980041421,-7.660607589521479,-3.4052707081406974,0.7694812060639765,4.7253372097399,8.596955076866319,10.996127197319108
-13,897,-10.287969949196446,-7.676357271290554,-3.4752660444327996,0.5421567044203119,4.580530826548552,7.9829170718552,10.025013262048558
-12,897,-10.360097808461177,-7.919544528368272,-3.7466700530783306,0.8332974229834486,4.9369074794839145,8.261107979107512,10.715629989196676
-11,897,-10.054380822647994,-7.491460298831075,-3.8936318781390873,0.6193474369058968,5.032671717288836,8.768448544810385,10.608549427551939
-10,896,-10.244416272110334,-8.451641453255945,-4.229016925550285,0.36058110579109426,4.849874237919727,8.813009546907889,12.00680730600877
-9,895,-11.011452305935823,-8.253198343731647,-4.330105273384136,0.19533313801335814,4.697272970151122,8.756693398084746,11.256348964064559
-8,895,-10.02586340279082,-7.448384650441477,-3.705366131951708,0.09775848478079846,4.367325198699886,7.881421326949919,10.871299520233796
-7,896,-9.74564528384406,-7.28503666844865,-3.6664671072087662,0.237769164914941,4.37271863620865,7.804939584867068,10.422108243636517
-6,896,-10.200031545085018,-7.737027789596601,-3.718374208176864,0.14701885905785425,4.431804506787729,8.024727904568127,10.180813936168681
-5,896,-10.798927835162726,-7.703472974872064,-3.6293025915408825,0.15440590092008372,4.389394459113572,8.175280974098168,10.734204419032089
-4,895,-10.525773703799505,-8.007649286989492,-3.835692476391392,0.302078214662166,4.559017987038366,8.25975187552218,10.459440501399799
-3,895,-10.807176542133442,-7.690539571850694,-3.597870298450325,0.702158837255407,4.51794998670142,8.430762372064926,10.776207254807819
-2,895,-10.41065131087683,-7.491800382717167,-3.402791926029897,0.7546887791392836,4.978326866764833,8.399640885548985,11.08681876798815
-1,895,-10.142484306112005,-7.352637768500132,-3.2723854440269675,0.8779396311799712,4.83054463770971,8.580645928353881,10.49019603627732
0,895,-9.25714127354045,-7.110943307363773,-2.9076220755460325,1.1991343477952718,4.974853563739506,8.483496624304548,10.891322521602547
1,895,-8.869127077509331,-6.315345861813635,-2.6331494246783302,1.4320243690590355,5.204440974139533,8.614465865609326,10.415305553787025
2,895,-9.393884670987896,-6.37473410395859,-2.936925983787565,1.578606667748557,5.04318077591102,8.69373785558203,11.177065987032595
3,894,-9.734804812895579,-7.1243002626070595,-2.8091297962239317,1.3524159324146177,5.328564832377502,8.838550940057257,11.075807937068985
4,893,-9.88791323021368,-6.770322193418201,-2.7601643558196685,1.364883702598753,5.675134261430749,9.221253931115676,11.664114526256057
5,893,-8.946273389956886,-6.942823675657674,-2.9683029762673057,1.3432268563846266,5.548022658842985,9.42488996298133,12.111885101560645
6,894,-9.394535599553743,-7.001785225419495,-2.8743381420082414,1.629575319037937,5.175974761578498,8.795638555729031,12.368155694931618
7,894,-9.885457061693023,-6.67744624937638,-2.79970906866696,1.4954286891197253,4.78064893370553,8.629196391388868,11.217669094855275
8,894,-9.512178631422994,-7.113829392614766,-3.0269250290935057,1.4936993807034025,5.156849990092303,8.632875986037618,11.223083367622326
9,895,-9.84200872241518,-7.628712313511223,-2.8052674988655584,1.3520052829795488,5.023299439260588,8.686531638208633,11.7367780048484
10,894,-10.429988492443854,-7.250201092658309,-3.0802164412055855,1.2166925674884763,5.537509111837534,9.466406317088765,12.06217703919577
11,892,-10.985421636278573,-8.203266669339378,-3.7233609168545643,0.8772224969269176,5.110383433551189,9.022704216736567,12.12904189239953
12,892,-10.776280120671373,-8.249292687683974,-3.7169085855882003,0.5642875034132738,4.711452014891401,8.440418275813954,11.80693740359875
13,892,-10.381203522281785,-7.971332245062226,-3.5684232011465165,0.24768010182050687,4.441532678450704,8.18172384174252,11.284269613854875
14,893,-10.506413781542113,-7.521107549984891,-3.833915082136436,0.5111310740316668,4.296938107241672,7.857985476805327,10.76012332925383
15,894,-10.178613783606847,-7.351750345348827,-3.964862940578905,0.11328500615906334,4.174251367158775,7.94131824222175,11.35220673146215
16,894,-10.187091000401123,-7.690465213132175,-3.80161655645476,0.25006005928480657,4.432564686344152,8.701869928798677,11.417355836121281
17,893,-10.025367381447985,-8.014912968230162,-3.7617065631293998,0.35620438345104816,4.390139883687606,8.042063284510593,10.637769633357662
18,892,-11.382561843736385,-8.287860598110461,-4.208633015461964,0.4706896445784073,4.827893390105526,8.680841505903949,10.893134175396499
19,892,-11.330719412550115,-8.32935266739336,-3.937475621925732,0.41197828571053796,4.738482160184499,8.406850032607425,10.6534658995304
20,893,-10.378788811540808,-7.842021228280181,-3.949586793903874,0.4456186433783895,4.687926440896216,8.400796654325426,10.350108493388491
21,894,-10.16362163612531,-7.76840823665199,-4.079187527235808,0.15688597596646525,4.450891096102734,8.448437026794785,10.15061951254526
22,895,-10.312514884549481,-8.179958354216375,-3.901364988250399,0.21936567073861923,4.62938618536853,8.20726029473803,10.466404575481416
23,894,-10.383701839321663,-8.352753526602603,-3.9759430822830057,0.036816347254938445,4.60162676415499,8.424885001521696,10.481123919118517
24,894,-10.603254815126675,-8.189999761216606,-4.194750677187594,0.13814199636779873,4.799447173775532,8.35091334460158,10.218190909080253
25,895,-10.80163949695418,-8.332690223297982,-4.229622647146101,0.3862199567734503,4.8437894999664834,8.193668661298846,10.389918345088049
26,896,-10.999877767534462,-8.140188920179881,-4.573793884564829,0.5208596273765272,4.478716510573374,8.351241567544834,11.15953162632648
27,896,-10.367214730230106,-7.8035163782492685,-4.203036707202827,0.49121897454851016,4.606470205614499,8.839075784233863,12.063378183813315
28,896,-10.317780725325083,-7.648384688033349,-3.9738641590190857,0.3365749733250484,4.405118249438026,8.608865738775496,11.55221534358681
29,897,-10.091732244911764,-7.659754909897166,-4.004946025736368,0.19220855717879667,4.412585903264227,7.844443280566118,11.000167427147884
