days_to_event,mean_rtv,median_rtv,std_rtv,count,smooth_mean_rtv
-60,,,,0,
-59,,,,0,67.5721692332838
-58,163.33297265914672,5.7989285891070015,2502.6976900366117,273,50430.462343900464
-57,-28.18863419257911,3.410930013796472,922.5923482865664,449,37805.35428453622
-56,151156.24269323482,1.715558029819336,4341521.135635597,824,30243.002405716856
-55,-69.96989355651628,0.7719506453839868,1540.6586032693413,580,30211.492238228042
-54,-6.405109560577146,-0.45322522548978694,100.78083088988119,409,30218.206906528405
-53,5.782135215048508,1.9429952072611845,77.84474537155778,529,-13.511834815694755
-52,5.384707309226051,1.690727878453469,79.44831952761875,579,1.4743065445169599
-51,-2.351013485677722,0.9565721325135332,88.39042724997965,618,2.3029396214595637
-50,4.96081324454229,1.8544868290175143,106.6124193332935,765,1.2200884875971971
-49,-2.2619441758641274,2.1457672440228213,125.98210838771409,866,0.908257745243651
-48,0.3678795457366756,0.9184707962432292,82.13046030674042,580,2.3245584701652335
-47,3.8255535974583204,2.5702241218102,119.55186009428587,412,1.079971123707379
-46,4.730490138930191,2.46527928127493,119.57532299588094,532,2.4179847863284305
-45,-1.262123487746983,3.9622040365936826,99.65648443855765,573,2.002981159010827
-44,4.42812413724113,0.29072635563842003,297.45666384966563,618,1.2267893384126694
-43,-1.707138590851344,1.3017566544813113,178.28098249827042,765,-0.46114462567487075
-42,-0.05540550553246581,1.6253160233801989,119.18816532041811,865,-1.2195429318354352
-41,-3.7091796815075093,1.6416584878184142,167.4919430701561,579,-2.5037373908684524
-40,-5.054115018549805,3.6459795455776636,194.2903004451376,412,-2.608648818930342
-39,-1.9928481579239576,0.6098115674319938,145.17512682241335,543,-3.650452133830497
-38,-2.23169573116079,1.9432070663937906,137.15645929955912,570,-2.045129372318642
-37,-5.26442208003324,1.8999858027949799,149.63541960221824,615,1.9160434182774424
-36,4.317434126051764,2.4084169134147393,237.64377910344737,768,10.590689892184347
-35,14.751748934430617,3.03066098563188,241.54521165091288,875,17.014156632218324
-34,41.38038421161056,2.8496007243998065,553.8070155670446,579,20.408874559871503
-33,29.88563796900909,3.7182937786285795,256.9986894075611,413,21.085472454083018
-32,11.70916755823266,3.3853120004189288,125.80732295355607,524,19.145362553347855
-31,7.700423597109338,1.8017327805618188,79.143130537627,567,12.720862427286544
-30,5.051199430754807,2.4987353862612425,87.28943127981672,622,8.105775792266076
-29,9.257883581304005,2.2956964601350554,83.36361869380814,760,8.047953067857929
-28,6.810204793906749,1.7788507436026617,96.6534754886647,866,6.434917811604377
-27,11.420053936191918,1.5247552726573126,121.23783134038699,570,6.178568709561593
-26,-0.3647526841584155,2.5157490346044167,201.00810739746305,406,11.77330354319568
-25,3.769453920540883,1.7907082866147528,201.3203240042332,516,14.690126616593469
-24,37.23155774947444,0.9501863694814794,852.8082480722971,561,12.087739994991457
-23,21.394320160895692,1.906422444299587,439.61961034752915,620,12.689864814578138
-22,-1.5918791718181335,2.2273096887598123,128.32965525511653,755,13.79442958024855
-21,2.6458714137749832,1.9991285235230971,118.48395841470533,865,7.825716297202812
-20,9.292277748892953,3.855361201787782,115.82521546292966,573,4.2456945102689225
-19,7.38799133424574,0.8919322652554212,108.12788930581941,411,6.843404407989567
-18,3.494211226226247,1.7861171777430047,76.40980771285885,532,7.202222159174053
-17,11.396670316785094,2.854244079304266,137.11523975219075,573,7.090700866272887
-16,4.4399601696974145,3.39607452506085,79.33523154893724,624,6.179301619895855
-15,8.734671284387117,1.7309622775863556,110.18039209315224,765,5.913231167467098
-14,2.8309951023605846,1.044943811798219,87.27622221973868,869,4.625974056052412
-13,2.1638589640824537,-0.513453690480169,83.95417094590995,578,4.502172165123612
-12,4.960384759711672,1.540943099040399,118.88039550023919,406,2.2935888386372603
-11,3.8209507150534114,1.0345133005883618,114.8306119683565,533,1.2710944819251595
-10,-2.308245348044639,-0.434471059738621,141.58242979613618,571,0.7617968002189814
-9,-2.28147668119992,0.8474460154500674,122.61202232837881,624,-0.4381746191530095
-8,-0.3826294444484365,0.1310400778205837,134.17271362193762,763,-1.6645243536855436
-7,-1.0394723371482832,1.4927405220846035,196.87454862394688,871,-0.5698682608363816
-6,-2.3107979576092585,1.366555519697401,136.68347948726947,574,-1.4602483291219905
-5,3.16503511620117,0.6652289324964415,151.0552543544626,407,0.39610623128052697
-4,-6.7333770226279634,1.7499796827351202,156.1818832278145,526,1.3346892464164792
