days_to_event,avg_rvr,median_rvr,avg_raw_rvr,avg_expected_return,avg_variance,event_count
-35,,,,,1.00000000000091e-6,0
-34,,,,,1.0000000000009025e-6,0
-33,-2.724057543877416,0.34333333333333454,-2.724057543877416,1.5722518069327887e-6,1.0612839261280958e-6,132914
-32,-2.063655202766987,0.527499999999998,-2.063655202766987,2.0374940773030336e-6,1.0532298911934348e-6,84421
-31,-3.9542570066576666,0.07999999999999924,-3.9542570066576666,7.380079048927112e-7,1.0739239816352337e-6,109953
-30,0.21529947125516055,1.7325000000000246,0.21529947125516055,4.31841831401483e-6,1.0679708363097105e-6,143817
-29,0.26531211683537687,2.00775,0.26531211683537687,3.851501254500391e-6,1.063253018742562e-6,196094
-28,0.5740364525308176,2.5280000000000014,0.5740364525308176,4.141226992510485e-6,1.061692095254939e-6,230233
-27,1.3711305558976963,2.871999999999998,1.3711305558976963,4.692031297715917e-6,1.0623019455647517e-6,211975
-26,1.9552045376105702,3.186000000000004,1.9552045376105702,5.449347192213194e-6,1.066834102500104e-6,142087
-25,1.3346419115230583,2.122000000000007,1.3346419115230583,5.919217123760886e-6,1.086922368507616e-6,102787
-24,0.746995362007179,1.9779999999999993,0.746995362007179,4.8419076336605004e-6,1.083825677078047e-6,119008
-23,1.7918145419310099,2.7900000000000036,1.7918145419310099,5.4054004078983905e-6,1.073491322547406e-6,144317
-22,2.6600150289225257,3.9239999999999995,2.6600150289225257,6.302031693470512e-6,1.0706569449091544e-6,197049
-21,1.92654572137068,3.638000000000003,1.92654572137068,5.617817689878849e-6,1.069383122694531e-6,231705
-20,1.8321578417390554,3.3130000000000024,1.8321578417390554,5.507849410196073e-6,1.0690311637142103e-6,214252
-19,1.5627074125820266,3.34400000000002,1.5627074125820266,5.156443113744664e-6,1.0680859993499666e-6,143951
-18,-0.3776135823929134,2.3879999999999995,-0.3776135823929134,3.6832386861731955e-6,1.0739806802494182e-6,104717
-17,-0.6375594443610166,1.6580000000000097,-0.6375594443610166,2.928887055135791e-6,1.0684612651149856e-6,121760
-16,0.7394634848151137,2.2480000000000016,0.7394634848151137,4.10397022100007e-6,1.061937750983507e-6,147285
-15,0.83989439805417,2.5569999999999777,0.83989439805417,4.090818914946274e-6,1.0615762490067168e-6,200242
-14,1.5884296846020307,3.0099999999999922,1.5884296846020307,5.137454256070464e-6,1.0696493889016847e-6,234563
-13,1.3663021695152688,2.823999999999985,1.3663021695152688,4.328634119606236e-6,1.0644753787346835e-6,216973
-12,1.7352450686758087,3.0189999999999957,1.7352450686758087,4.809071253662783e-6,1.0590055008506013e-6,145382
-11,0.4940369394790658,2.1319999999999912,0.4940369394790658,4.636726661997636e-6,1.0699868868499643e-6,105661
-10,0.6506995355401127,1.684000000000001,0.6506995355401127,4.7421195129529615e-6,1.0741548230827138e-6,122288
-9,3.2487969883473586,2.7069999999999887,3.2487969883473586,6.932311619480357e-6,1.0700230377872898e-6,147924
-8,4.53760676261554,3.6239999999999988,4.53760676261554,8.37209531168737e-6,1.0663906896611243e-6,201238
-7,4.382003905171521,3.1679999999999984,4.382003905171521,8.404507724893876e-6,1.063565640048615e-6,235904
-6,4.834346002073047,3.0620000000000065,4.834346002073047,8.801855948828789e-6,1.0606308218420244e-6,218508
-5,3.6678552708673,2.6999999999999904,3.6678552708673,8.00858407410945e-6,1.070102103971002e-6,146468
-4,2.8188317120475417,2.3700000000000085,2.8188317120475417,8.236829056103957e-6,1.088550090086386e-6,106689
-3,3.7990490023084162,2.794000000000001,3.7990490023084162,8.104024494543084e-6,1.0691095298963616e-6,123667
-2,5.4417239972906595,3.434000000000001,5.4417239972906595,9.489873539002568e-6,1.06008227770832e-6,149042
-1,7.558040874061173,5.03,7.558040874061173,0.000012023707889692383,1.0655749300782937e-6,202585
0,105.85207259510985,105.37600000000003,105.85207259510985,0.00011318752626049483,1.091804893245175e-6,239244
1,101.49288175121313,103.42000000000002,101.49288175121313,0.00010927395383910015,1.1257089956561522e-6,219652
2,99.0959102550343,102.64300000000001,99.0959102550343,0.0001068732135270216,1.132042405848805e-6,146524
3,95.05590279205326,100.688,95.05590279205326,0.00010319320725641109,1.1387110866635148e-6,107018
4,95.38725695313998,100.63600000000002,95.38725695313998,0.00010324490418131899,1.1311051408508908e-6,125120
5,97.63024337631339,101.42,97.63024337631339,0.00010474296289817751,1.1152399754092459e-6,150069
6,95.39456581738635,100.745,95.39456581738635,0.00010187566206528006,1.1083340980540918e-6,202946
7,93.82861568727868,100.00200000000002,93.82861568727868,0.00009952548130640218,1.0957369430237487e-6,237033
8,97.56516490443691,100.44800000000004,97.56516490443691,0.00010219547730484335,1.0627435248908488e-6,219621
9,99.4271953149659,101.23700000000002,99.4271953149659,0.00010401897195662436,1.0584535769811962e-6,146630
10,98.37413630925678,100.95200000000003,98.37413630925678,0.00010336136970295656,1.0657191462047044e-6,106325
11,0.2719173587675857,1.115999999999975,0.2719173587675857,3.86695758527402e-6,1.0686068202495505e-6,124823
12,2.3045374992527874,2.5140000000000104,2.3045374992527874,5.581595558352681e-6,1.0598063258481065e-6,149359
13,2.5131876319088042,2.7849999999999824,2.5131876319088042,5.763650310411927e-6,1.0551525127003092e-6,201238
14,1.2680846810970652,2.0319999999999805,1.2680846810970652,4.6126316650675124e-6,1.06137362372551e-6,233456
15,1.4163114549277849,2.1279999999999863,1.4163114549277849,4.68788707277074e-6,1.059981147296306e-6,217711
16,2.010665044390469,2.332999999999999,2.010665044390469,5.3696602454456275e-6,1.0608175823760307e-6,144988
17,2.56050703997151,2.132000000000013,2.56050703997151,6.636148055441943e-6,1.0805994327905796e-6,105071
18,2.4267432888950022,2.2139999999999866,2.4267432888950022,6.554967792234682e-6,1.0763483778983394e-6,122279
19,0.9362891014800953,1.4619999999999802,0.9362891014800953,4.341471014935606e-6,1.0668180953124965e-6,147277
20,2.0065372138034316,2.2799999999999994,2.0065372138034316,5.249573315478313e-6,1.062318711193155e-6,198637
21,3.2910095970990905,3.038000000000004,3.2910095970990905,6.732128340695869e-6,1.0643308155170941e-6,229992
22,4.666642023906854,3.9600000000000044,4.666642023906854,7.855667988617579e-6,1.053979181760913e-6,216473
23,5.445826535256827,4.642999999999981,5.445826535256827,9.020621723337984e-6,1.0628887593864647e-6,144812
24,4.240326822402181,3.5359999999999974,4.240326822402181,8.718880156939168e-6,1.085308245476738e-6,104584
25,4.027005478305094,2.5740000000000443,4.027005478305094,8.306783998834047e-6,1.0813862992882554e-6,118933
26,3.4436364287726473,3.1139999999999963,3.4436364287726473,7.201721265142961e-6,1.0719399531653241e-6,144595
27,4.6010539701904625,4.011999999999996,4.6010539701904625,8.294506885124003e-6,1.0629045523183997e-6,196438
28,4.747547467932119,4.07999999999998,4.747547467932119,8.916016671094536e-6,1.0726469472159297e-6,229609
29,5.128871803216386,4.402000000000036,5.128871803216386,9.06383026446721e-6,1.0760897926286824e-6,215389
30,4.806572084657313,4.438000000000008,4.806572084657313,8.798029660358785e-6,1.0765161932175724e-6,143789
