days_to_announcement,mean_return,std_dev,sharpe_ratio,num_observations,unique_events
-60,NaN,NaN,NaN,0,0
-59,NaN,NaN,NaN,0,0
-58,NaN,NaN,NaN,0,0
-57,NaN,NaN,NaN,0,0
-56,NaN,NaN,NaN,0,0
-55,NaN,NaN,NaN,0,0
-54,NaN,NaN,NaN,0,0
-53,NaN,NaN,NaN,0,0
-52,NaN,NaN,NaN,0,0
-51,NaN,NaN,NaN,0,0
-50,NaN,NaN,NaN,0,0
-49,NaN,NaN,NaN,0,0
-48,NaN,NaN,NaN,0,0
-47,NaN,NaN,NaN,0,0
-46,NaN,NaN,NaN,0,0
-45,NaN,NaN,NaN,0,0
-44,NaN,NaN,NaN,0,0
-43,NaN,NaN,NaN,0,0
-42,NaN,NaN,NaN,0,0
-41,NaN,NaN,NaN,0,0
-40,NaN,NaN,NaN,0,0
-39,NaN,NaN,NaN,0,0
-38,NaN,NaN,NaN,0,0
-37,NaN,NaN,NaN,0,0
-36,NaN,NaN,NaN,0,0
-35,NaN,NaN,NaN,0,0
-34,NaN,NaN,NaN,0,0
-33,NaN,NaN,NaN,0,0
-32,0.00018108084660317376,0.04814770877343271,0.0597031384687686,145039,0
-31,0.00015017296173239585,0.04615166459185265,0.051654081893299196,341991,0
-30,0.000413848501830485,0.04547320309239598,0.1444728070827126,572936,145039
-29,0.0005373179041871165,0.04485391826465893,0.19016526597387354,785229,196952
-28,0.0005932101192954001,0.04610318707454964,0.20425743430596682,927489,230945
-27,0.0006461220051078788,0.04554900101883035,0.22518317906666793,885502,212293
-26,0.0007059314313224146,0.04601325613173214,0.2435453389252684,808203,142260
-25,0.000591817939019021,0.046256060560230634,0.20310459677372641,722417,103052
-24,0.00045941521595688916,0.046938547011598206,0.15537316180331956,707920,119653
-23,0.0003556225159503128,0.045128396981443684,0.1250949026449814,797975,145159
-22,0.0004232989383686313,0.04475466438209836,0.150144402147593,909462,197796
-21,0.00046680646674621216,0.043945786373138535,0.1686241967665144,933849,232315
-20,0.0005018444592700717,0.04396735889880603,0.18119200279282857,893557,214539
-19,0.0004476693496119879,0.04383350822034326,0.16212552680549389,817950,144040
-18,0.0004108136855943552,0.043524447192620365,0.14983452988445942,733459,104867
-17,0.0002784584573898781,0.044066339932662096,0.10031218792058913,719610,122189
-16,0.00040313484338705586,0.04528453947615346,0.14131903109962504,810412,147824
-15,0.00041947217334647286,0.04459690691253644,0.1493133667000436,922619,200690
-14,0.000520540968784731,0.04407479849199613,0.18748427642274546,945880,234842
-13,0.0005880067573026123,0.04428331090112251,0.21078635956402123,903828,217074
-12,0.000681608926208972,0.04407833510544855,0.24547674577588122,825606,145450
-11,0.0006859786878898805,0.04312132267581892,0.2525333965042924,738869,105772
-10,0.0007945925666722912,0.04381943931380762,0.2878577669577284,723202,122468
-9,0.0008596988189919952,0.044620174281245706,0.3058548265363589,813840,148105
-8,0.0009065195955893466,0.0443676563760685,0.3243478161037072,926719,201407
-7,0.0008930116226713628,0.04429428462119897,0.320044000035333,950802,236088
-6,0.0009050772217969698,0.04478488949457832,0.32081480247581134,909505,218651
-5,0.0009612249828363386,0.0448201973813678,0.3404486022577624,831920,146551
-4,0.0010398934047772168,0.04599104980446458,0.3589349689673307,745024,106808
-3,0.0012258029823105363,0.04648336651738232,0.4186232741566443,729156,123822
-2,0.0014715236183887245,0.0544040688798489,0.4293743783627043,822368,149192
-1,0.0009089064189842799,0.061621432792436565,0.23414648839108196,935776,202783
0,0.0006819187510367512,0.061546312932722114,0.17588583396382013,958752,239763
1,0.0005217889654480346,0.061735892002583906,0.13417062211156452,917021,220216
2,0.00018125477996043345,0.06337192257727141,0.045403868358164824,839807,146798
3,-0.00035234167560973986,0.05833407185839041,-0.09588308381250923,750291,107461
4,-0.00004741313580422081,0.046118971128466184,-0.016319969393888686,733153,125569
5,0.0001576551330447499,0.04520285155601029,0.05536592412968008,823507,150247
6,0.00025684904341431454,0.04439180763127546,0.09184920321383862,935749,203078
7,0.00038206439710292475,0.043380713577646245,0.1398106157571895,956877,237152
8,0.0004931791176889455,0.043022789266790804,0.181972761801718,913025,219703
9,0.0006630988022481361,0.0437719903655717,0.24048180273656403,834834,146697
10,0.000695341958493203,0.0436145582997274,0.2530854792583939,747131,106395
11,0.0005527863118830905,0.04343955958051993,0.20200965988510253,728801,124887
12,0.00037680981634962855,0.0440008554107935,0.1359444114876664,815700,149449
13,0.0004170110225381074,0.04462830740729565,0.14833286634055307,927113,201373
14,0.00044064275796531425,0.04373682175286193,0.1599335902163345,947277,233596
15,0.0004949966171010307,0.043866058117652214,0.1791322956562503,902977,217808
16,0.0006349311712730924,0.04416587416232421,0.2282128467772401,823998,145051
17,0.000774536272611921,0.04378950417737528,0.28078377189603076,737825,105149
18,0.0007529700747366269,0.04293222850633039,0.2784162339208298,718810,122394
19,0.0007410516102302249,0.04311718928550732,0.27283386999330583,803899,147423
20,0.000740991863735601,0.042950474472609905,0.2738708085122858,915334,198793
21,0.00081839633419294,0.04382594537339736,0.2964371660275597,937811,230140
22,0.00089610930625755,0.044462446413082946,0.3199395305235119,895051,216584
23,0.000887884921228835,0.04465361428489142,0.3156460320673973,815310,144871
24,0.0008411137415689381,0.04560987882053734,0.29274944490864274,729886,104663
25,0.0008090933424632832,0.04593481487432512,0.27961272217413913,709889,119052
26,0.000773284757511005,0.04519825628896904,0.2715926669290992,794786,144716
