days_to_announcement,mean_return,std_dev,sharpe_ratio,num_observations,unique_events
-60,0.00013047380395963493,0.05534369841268224,0.03742444915535506,356532,102962
-59,0.00024411987709021274,0.05131553770666153,0.07551870412744545,549469,113785
-58,0.0002526220546472265,0.04928679046197786,0.08136563075280945,777666,139785
-57,0.0004744812535761138,0.048820792986160745,0.15428172980481053,889766,192937
-56,0.000572688869198404,0.0484091945174286,0.18779808360185776,919976,228197
-55,0.0006318344865439895,0.04424733855569298,0.22668169101906363,883810,215062
-54,0.0005529104330000273,0.045948684712872744,0.19102137684493303,806046,143995
-53,0.0005305182334211316,0.04837387724193389,0.1740963584040611,720000,103619
-52,0.00025788570249020036,0.0483165490329443,0.08472891162028622,700201,115173
-51,0.00023975440812286456,0.04886083138301245,0.07789436098442519,787209,142151
-50,0.0003231342025205465,0.04795178129947584,0.10697405395172156,898897,195263
-49,0.0004638337489716859,0.04641926916039607,0.1586223271052514,927694,231003
-48,0.0005985957925247662,0.04502377806022237,0.21105322624215947,889617,215307
-47,0.00050028712582801,0.04521392893620096,0.1756496748074126,813574,143970
-46,0.0004782015372428645,0.04435571610381865,0.17114398619813806,727310,104074
-45,0.00020679330733372358,0.044473145651761685,0.07381402722646077,709155,119220
-44,0.0001884698714230533,0.044760251241782074,0.0668420389403335,794966,144739
-43,0.0002112661481088728,0.04390072894871611,0.07639385974600721,903605,197152
-42,0.00041333541572515013,0.04328952011993059,0.15157239651091753,927347,229781
-41,0.00046856035493203306,0.04339930339699068,0.17138904217438808,885777,212713
-40,0.00046024524339842107,0.04347645730695222,0.16804880593680235,808317,142962
-39,0.00029954944093904003,0.04319203889440785,0.11009436179162281,723966,103169
-38,0.0000464186899138689,0.0437516027597877,0.016842214037982178,707690,119692
-37,-0.00001472208965142271,0.04388316235921726,-0.0053256400727939935,794727,145430
-36,0.000013035002801641568,0.04340780461595645,0.004766982719899606,903237,196437
-35,0.0002045596640762096,0.043180277551280254,0.07520294404469625,925652,229999
-34,0.00031672709776533466,0.04325719371323863,0.11623238526070045,883502,211679
-33,0.00038550090985885096,0.04356276185344638,0.14047863279746903,806346,142107
-32,0.00038910467468543104,0.04459246461857337,0.13851769064518807,721386,103280
-31,0.00029449492774854885,0.0451835771997267,0.10346595681193314,706659,119281
-30,0.00035100498800464725,0.045443060620661724,0.12261567260475381,795497,145039
-29,0.00045421313960791943,0.04509564523784906,0.15989149328482738,904510,196952
-28,0.0005932101192954001,0.04610318707454964,0.20425743430596682,927489,230945
-27,0.0006461220051078788,0.04554900101883035,0.22518317906666793,885502,212293
-26,0.0007059314313224146,0.04601325613173214,0.2435453389252684,808203,142260
-25,0.000591817939019021,0.046256060560230634,0.20310459677372641,722417,103052
-24,0.00045941521595688916,0.046938547011598206,0.15537316180331956,707920,119653
-23,0.0003556225159503128,0.045128396981443684,0.1250949026449814,797975,145159
-22,0.0004232989383686313,0.04475466438209836,0.150144402147593,909462,197796
-21,0.00046680646674621216,0.043945786373138535,0.1686241967665144,933849,232315
-20,0.0005018444592700717,0.04396735889880603,0.18119200279282857,893557,214539
-19,0.0004476693496119879,0.04383350822034326,0.16212552680549389,817950,144040
-18,0.0004108136855943552,0.043524447192620365,0.14983452988445942,733459,104867
-17,0.0002784584573898781,0.044066339932662096,0.10031218792058913,719610,122189
-16,0.00040313484338705586,0.04528453947615346,0.14131903109962504,810412,147824
-15,0.00041947217334647286,0.04459690691253644,0.1493133667000436,922619,200690
-14,0.000520540968784731,0.04407479849199613,0.18748427642274546,945880,234842
-13,0.0005880067573026123,0.04428331090112251,0.21078635956402123,903828,217074
-12,0.000681608926208972,0.04407833510544855,0.24547674577588122,825606,145450
-11,0.0006859786878898805,0.04312132267581892,0.2525333965042924,738869,105772
-10,0.0007945925666722912,0.04381943931380762,0.2878577669577284,723202,122468
-9,0.0008596988189919952,0.044620174281245706,0.3058548265363589,813840,148105
-8,0.0009065195955893466,0.0443676563760685,0.3243478161037072,926719,201407
-7,0.0008930116226713628,0.04429428462119897,0.320044000035333,950802,236088
-6,0.0009050772217969698,0.04478488949457832,0.32081480247581134,909505,218651
-5,0.0009612249828363386,0.0448201973813678,0.3404486022577624,831920,146551
-4,0.0010398934047772168,0.04599104980446458,0.3589349689673307,745024,106808
-3,0.0012258029823105363,0.04648336651738232,0.4186232741566443,729156,123822
-2,0.0014715236183887245,0.0544040688798489,0.4293743783627043,822368,149192
-1,0.0009089064189842799,0.061621432792436565,0.23414648839108196,935776,202783
0,0.0006819187510367512,0.061546312932722114,0.17588583396382013,958752,239763
1,0.0005217889654480346,0.061735892002583906,0.13417062211156452,917021,220216
2,0.00018125477996043345,0.06337192257727141,0.045403868358164824,839807,146798
3,-0.00035234167560973986,0.05833407185839041,-0.09588308381250923,750291,107461
4,-0.00004741313580422081,0.046118971128466184,-0.016319969393888686,733153,125569
5,0.0001576551330447499,0.04520285155601029,0.05536592412968008,823507,150247
6,0.00025684904341431454,0.04439180763127546,0.09184920321383862,935749,203078
7,0.00038206439710292475,0.043380713577646245,0.1398106157571895,956877,237152
8,0.0004931791176889455,0.043022789266790804,0.181972761801718,913025,219703
9,0.0006630988022481361,0.0437719903655717,0.24048180273656403,834834,146697
10,0.000695341958493203,0.0436145582997274,0.2530854792583939,747131,106395
11,0.0005527863118830905,0.04343955958051993,0.20200965988510253,728801,124887
12,0.00037680981634962855,0.0440008554107935,0.1359444114876664,815700,149449
13,0.0004170110225381074,0.04462830740729565,0.14833286634055307,927113,201373
14,0.00044064275796531425,0.04373682175286193,0.1599335902163345,947277,233596
15,0.0004949966171010307,0.043866058117652214,0.1791322956562503,902977,217808
16,0.0006349311712730924,0.04416587416232421,0.2282128467772401,823998,145051
17,0.000774536272611921,0.04378950417737528,0.28078377189603076,737825,105149
18,0.0007529700747366269,0.04293222850633039,0.2784162339208298,718810,122394
19,0.0007410516102302249,0.04311718928550732,0.27283386999330583,803899,147423
20,0.000740991863735601,0.042950474472609905,0.2738708085122858,915334,198793
