days_to_approval,mean_return,std_dev,sharpe_ratio,num_observations,unique_events,rolling_avg
-60,0.0006515897703549061,0.028271289110795655,0.36587178230959355,1916,542,
-59,0.0011510630329996294,0.03158946410092629,0.5784384031866092,2697,584,
-58,0.0005919427054220235,0.032289813480030106,0.2910143516153837,3578,640,
-57,0.001149783547417327,0.033043991318119796,0.5523620858146954,3659,709,
-56,0.001300853190287973,0.032921767252689936,0.627256855433679,3542,802,
-55,0.0011392432037415961,0.033335857669703844,0.5425066719060414,3421,604,0.49985827166628116
-54,0.0003163115055079561,0.03225884824751442,0.15565619218292556,3269,466,0.5029959409149136
-53,0.001404654284783317,0.031044148426199205,0.7182737045068865,3070,541,0.4985016100944154
-52,0.001420183094198378,0.030462740010179266,0.740074848586481,3207,584,0.49674835147777135
-51,0.0007992798319327732,0.029705800821346374,0.42712782112051634,3572,630,0.44811536395467266
-50,0.0008112268607525405,0.03241756230544859,0.39724847479591746,3643,721,0.41389253401411696
-49,0.001051883819778974,0.031299515456992416,0.5334950949816281,3530,801,0.39815238917600737
-48,0.0005364725947521867,0.031140059416812707,0.2734817654489431,3432,597,0.4464742750951415
-47,0.00013048878648233496,0.03137022445830824,0.06603221058370781,3258,471,0.4605725319439786
-46,0.0005636971968709254,0.03139480377224105,0.2850285560281224,3070,541,0.4762295577714931
-45,0.0006573818125194642,0.02709808155428553,0.38510522352494564,3213,580,0.5298777551966722
-44,0.0011162151650811417,0.027735261191599216,0.6388750513742667,3576,625,0.5912661861591895
-43,0.0014985321605277626,0.027684942569472484,0.8592562729952581,3639,721,0.6018848969433401
-42,0.0017587502128867442,0.03113750789005311,0.8966451068616258,3523,800,0.6329078093247864
-41,0.0019491141193595345,0.03210970619939089,0.9636097953723073,3436,590,0.69273457189265
-40,0.0020958143252382414,0.032903711070480665,1.0111327844210902,3254,463,0.69956990577392
-39,0.0013343833605220228,0.03311437939010521,0.6396822028231343,3066,557,0.6798002069838314
-38,0.0012340111905502023,0.033559970718242994,0.5837108892634048,3218,578,0.6734621279484174
-37,0.0012550957950431636,0.02999252292998347,0.6642998362623445,3592,627,0.6103363670189593
-36,0.0006542863013698629,0.02939163887454952,0.35338189484082283,3650,721,0.5320439798673205
-35,0.00033840079029071393,0.028664407354209553,0.18740823562405853,3543,805,0.47424023400681026
-34,0.0010647444024425704,0.029370046822544287,0.5754942610201282,3439,602,0.4084926872787015
-33,0.00040628199632578087,0.0282875638039369,0.22799866370067667,3267,465,0.3708396499301104
-32,0.00020155880441845346,0.028135878198709705,0.11372123534523768,3079,547,0.34400025494499487
-31,0.002774539875389409,0.1142313669252355,0.3855723367672052,3211,581,0.30843294526157183
-30,0.002424008105086641,0.10880571069070226,0.3536573171400025,3579,632,0.2745069887804747
-29,0.0017841816433086016,0.10762990173049972,0.263151829337224,3640,715,0.2710129125420317
-28,0.0021712155025553665,0.10930899443329714,0.3153169394122484,3522,802,0.25764216825441444
-27,0.0021660445559161996,0.11141254774473795,0.30862673942811464,3390,589,0.26425302378518
-26,2.52914072229141e-05,0.028429348561002998,0.014122330029851237,3214,465,0.2889369778483217
-25,0.00027261215725140394,0.02838365287236546,0.15246747323962867,3030,528,0.2815936476024522
-24,0.0007913549509648845,0.028435367191293956,0.4417868181439557,3164,573,0.2808023669472864
-23,0.0005551692176870746,0.02996539201950026,0.294107219008332,3531,629,0.2845158880423706
-22,0.000657136577273984,0.028931931758162926,0.36056077597665476,3619,706,0.3004192500561458
-21,0.0005669353644646924,0.028832728091395487,0.3121390343085105,3513,799,0.3040737619539582
-20,0.0006415851220229344,0.029457728914275505,0.34574451058834366,3401,593,0.33323465138169
-19,0.0005465656066687247,0.028893887709027323,0.3002870402880663,3239,464,0.34611794237276955
-18,0.000998439764936337,0.033413557934098566,0.47435055955000044,3063,541,0.33167603014203123
-17,0.0007427478206724784,0.03415908868251572,0.3451718584062386,3212,582,0.34299753588292725
-16,0.0006515637583892617,0.03383119938580906,0.30573122430716965,3576,635,0.34885607290150217
-15,0.0007519077975376199,0.04243210092048212,0.281300383150424,3655,723,0.38979826484982627
-14,0.000812716628959276,0.0433856020683847,0.2973676958365725,3536,796,0.44336813700045463
-13,0.0010231949078138719,0.03987681635241256,0.40732227641729224,3417,602,0.48849764114002436
-12,0.0011170145330859616,0.042305186758109396,0.4191461461624037,3234,458,0.48705835182424073
-11,0.0019528806799607714,0.042963826622332286,0.7215609537917512,3059,541,0.4820888122384252
-10,0.0017831991857187599,0.03211484128564888,0.8814432320946272,3193,576,0.4529574389476885
-9,0.0015165510489510488,0.03203176624756377,0.7515820816837638,3575,634,0.4345177643044195
-8,0.0009355745674265312,0.03228946252097436,0.4599576663921636,3641,719,0.45142997779228533
-7,0.0005682606232294618,0.030529869133472387,0.29547646254808463,3530,806,0.45653156675904827
-6,2.7722450175849756e-05,0.030524051736082324,0.014417491399801526,3412,590,0.49734430372505767
-5,0.00020212065250846414,0.033110892396650334,0.09690363671773437,3249,460,0.5551546564298422
-4,0.0010059862969004892,0.03423340945962335,0.46648983071523115,3065,540,0.5950518931752489
-3,0.0009862652743142144,0.03415922350342744,0.45833816608492106,3208,587,0.630188857387049
-2,0.0019218186874304785,0.03687767744027668,0.8272735158224982,3597,637,0.6980654640567134
-1,0.004529460720130933,0.05532424782876412,1.2996644808395965,3667,712,0.7653226617489458
0,0.004483907062146893,0.055591183015335104,1.2804155995486948,3541,817,0.7772730132322134
1,0.004648101992966003,0.06689896761462628,1.1029517238017639,3413,592,0.774312520220058
2,0.004915291589363019,0.06852218210055214,1.1387237330888074,3235,461,0.7088471564220903
3,0.004199005289256198,0.06885723872636641,0.9680484394704091,3025,528,0.6445852084236788
4,0.0004314004438807869,0.05113663593641559,0.1339210062324772,3154,570,0.5527766641029102
5,0.0002044535115154964,0.0482267645400401,0.06729870659618181,3517,620,0.4289870037631543
6,-0.0003742960800667222,0.03157762459082587,-0.18816380726444643,3597,705,0.2850305456804595
7,-0.00036598625823074706,0.031527080051381995,-0.18428131389919383,3493,792,0.15661700375533755
8,-0.00016839510901591045,0.02943654605408405,-0.0908119273851892,3394,592,0.02087733195550626
9,0.00011663311587449506,0.02997501925120176,0.061767877442038065,3219,462,-0.08391728723730521
10,-0.0003031860772022434,0.030241662427680564,-0.15914898127825342,3031,541,-0.09474033304858963
11,-0.00034780176767676755,0.030472840744483982,-0.18118369544945534,3168,562,-0.049658049595827536
12,-0.00040741179807146877,0.029575952402264457,-0.21867298490950537,3526,616,0.0269670999271097
13,-0.00015064273789649427,0.029930495592074953,-0.07989775245770567,3594,712,0.10423144206037294
14,4.617361507709879e-05,0.02853124862683638,0.02569054811963308,3502,790,0.15934358082964756
15,0.0009187175953079179,0.028148201794642943,0.5181215411238027,3410,597,0.19024767827561023
