days_to_approval,event_count,sharpe_q5,sharpe_q10,sharpe_q25,sharpe_q50,sharpe_q75,sharpe_q90,sharpe_q95
-60,1,,,,,,,
-59,24,-68.62127083958902,-35.64396285325014,-14.814068221365758,6.006806124502514,10.905733806871458,49.05455356304355,65.79449659570624
-58,315,-25.217151141945372,-18.120310914226593,-7.12624269238948,1.5499908269637654,9.39206379221411,18.40796161479137,30.991725109727952
-57,494,-20.85641646850083,-16.121646055112297,-7.232764924304948,1.473161157313236,7.474964229094033,15.079564022611613,20.589493989562616
-56,841,-21.010147092524242,-15.100986865279395,-6.344253310872977,0.28395008258348875,6.993793472622612,12.817937826458193,19.710040694565635
-55,900,-17.197273581373654,-13.185276873008222,-5.645309994814894,0.6557747275795751,6.2996997481526416,11.507305464663563,17.287672058078126
-54,901,-15.86030941641253,-10.48382150186738,-5.1895275113605,0.6273347268960929,5.894035108842297,10.978952628232776,14.144322750267657
-53,901,-13.590568199466404,-9.665160816326793,-4.543364754152431,0.8121843847806332,5.399987644434248,10.301731643687992,13.44471762919564
-52,901,-11.611561141965865,-8.889214113329025,-4.334375080951942,0.3982328502770598,5.148910871715541,9.245141153814199,12.32363685144107
-51,901,-11.482233367550675,-8.108032100708673,-3.9243560936925896,0.39422095098269616,4.867990199103297,9.244379361695236,12.257450324772856
-50,901,-10.283169460129685,-7.424878087630191,-3.462283593098225,0.7073278653874057,4.6240029621434235,8.581642102048894,10.70248645790977
-49,902,-10.172835422076336,-7.259114089618892,-3.5318785214354014,0.7195982268200501,4.874459472984154,8.701138952364234,11.002121355015543
-48,902,-9.552319215060013,-7.129718949061208,-3.322346631522259,0.6536936794852468,4.950275468746265,8.686237075054587,11.174299972631044
-47,902,-9.733177239732147,-7.701884073091529,-3.471202425352111,0.8423747003192534,5.04900163796496,8.327294054709663,10.939857523555387
-46,902,-10.591338675931373,-8.213787520273286,-3.733638141621582,0.7274474005775361,5.156280572467135,8.440139314478369,10.53415239334447
-45,901,-10.420367863268279,-7.684625722914246,-3.6962779217406463,0.7297794649287405,5.042943767696458,8.626298213424272,10.773625967569116
